formulaRank	molecularFormula	adduct	precursorFormula	NPC#pathway	NPC#pathway Probability	NPC#superclass	NPC#superclass Probability	NPC#class	NPC#class Probability	ClassyFire#superclass	ClassyFire#superclass probability	ClassyFire#class	ClassyFire#class Probability	ClassyFire#subclass	ClassyFire#subclass Probability	ClassyFire#level 5	ClassyFire#level 5 Probability	ClassyFire#most specific class	ClassyFire#most specific class Probability	ClassyFire#all classifications	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	compoundId	mappingFeatureId	overallFeatureQuality
1	C7H8O2	[M + H3N + H]+	C7H12NO2+	Fatty acids	0.876	Fatty Acids and Conjugates	0.613	Unsaturated fatty acids	0.756	Organic acids and derivatives	0.513	Carboxylic acids and derivatives	0.585	Carboxylic acids	0.575			Carboxylic acids	0.575	Organic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	142.086	104	1.727	845630576774286070	845630487188145494	845630487188145493	31	
1	C7H12O2	[M + H3N + H]+	C7H16NO2+	Fatty acids	0.959	Fatty Acids and Conjugates	0.681	Unsaturated fatty acids	0.533	Lipids and lipid-like molecules	0.586							Lipids and lipid-like molecules	0.586	Organic compounds; Lipids and lipid-like molecules; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	146.118	107	1.790	845630575700544092	845630487309780318	845630487309780317	33	
1	C12H26O6	[M + H3N + H]+	C12H30NO6+	Fatty acids	0.994	Fatty acyls	0.931	Fatty alcohols	0.982	Lipids and lipid-like molecules	0.570							Lipids and lipid-like molecules	0.570	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Ethers; Primary alcohols; Organooxygen compounds; Dialkyl ethers; Secondary alcohols; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	284.207	119	1.991	845630595849982790	845630487456580970	845630487456580969	36	
1	C9H14O4	[M + H3N + H]+	C9H18NO4+	Fatty acids	0.816	Fatty Acids and Conjugates	0.566	Dicarboxylic acids	0.673	Organic acids and derivatives	0.957	Carboxylic acids and derivatives	0.946	Carboxylic acids	0.751			Carboxylic acids	0.751	Organic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Carboxylic acids; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	204.123	120	2.004	845630578544282634	845630487502718318	845630487502718317	37	
1	C9H15NO2	[M + H3N + H]+	C9H19N2O2+	Amino acids and Peptides	0.623	Small peptides	0.367	Primary amides	0.750	Lipids and lipid-like molecules	0.656	Fatty Acyls	0.537					Fatty Acyls	0.537	Organic compounds; Lipids and lipid-like molecules; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Carboxylic acid amides; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Primary carboxylic acid amides; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	187.144	129	2.145	845630581425769914	845630487553049970	845630487553049969	38	
3	C7H9N7	[M + H3N + H]+	C7H13N8+	Alkaloids	0.900	Histidine alkaloids	0.115	Imidazole alkaloids	0.113	Organoheterocyclic compounds	0.991	Azoles	0.774					Azoles	0.774	Organic compounds; Organoheterocyclic compounds; Organonitrogen compounds; Azoles; Amines; Primary amines; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic nitrogen compounds; Chemical entities	209.126	129	2.145	845630599788434633	845630487603381622	845630487599187317	39	
1	C8H12O3	[M + H3N + H]+	C8H16NO3+	Fatty acids	0.937	Fatty Acids and Conjugates	0.463	Lactones	0.544	Organoheterocyclic compounds	0.498	Lactones	0.518					Lactones	0.518	Organic compounds; Lactones; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	174.113	136	2.272	845630579991317733	845630487708239230	845630487704044925	41	
2	C8H10O2	[M + H]+	C8H11O2+	Fatty acids	0.624	Cyclic polyketides	0.467	Unsaturated fatty acids	0.391	Organoheterocyclic compounds	0.649	Lactones	0.581					Lactones	0.581	Organic compounds; Organoheterocyclic compounds; Lactones; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Monocarboxylic acids and derivatives; Carbonyl compounds; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	139.075	136	2.272	845630589835350160	845630487649518970	845630487649518969	40	
1	C8H10O2	[M + H3N + H]+	C8H14NO2+	Fatty acids	0.804	Fatty acyls	0.219	Fatty aldehydes	0.441	Organic oxygen compounds	0.999	Organooxygen compounds	0.998	Carbonyl compounds	0.909			Carbonyl compounds	0.909	Organic compounds; Organooxygen compounds; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	156.102	136	2.274	845630584181427840	845630487804708230	845630487804708229	43	
4	C8H17NO2	[M + Na]+	C8H17NNaO2+	Amino acids and Peptides	0.811	Small peptides	0.899	Aminoacids	0.870	Organic acids and derivatives	0.998	Carboxylic acids and derivatives	0.998	Amino acids, peptides, and analogues	0.950	Amino acids and derivatives	0.950	Amino acids	0.939	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Monoalkylamines; Amino fatty acids; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Amines; Primary amines; Medium-chain fatty acids; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	182.115	140	2.335	845630595472495368	845630487896982926	845630487892788621	45	
1	C8H14O2	[M + H3N + H]+	C8H18NO2+	Fatty acids	0.996	Fatty esters	0.702	Lactones	0.792	Organic acids and derivatives	0.776	Carboxylic acids and derivatives	0.784	Monocarboxylic acids and derivatives	0.823			Monocarboxylic acids and derivatives	0.823	Organic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Monocarboxylic acids and derivatives; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	160.133	140	2.339	845630576208054906	845630487850845578	845630487850845577	44	
1	C8H15NO2	[M + Na]+	C8H15NNaO2+	Fatty acids	0.919	Fatty amides	0.891	Primary amides	0.927	Lipids and lipid-like molecules	0.688	Fatty Acyls	0.699					Fatty Acyls	0.699	Organic compounds; Lipids and lipid-like molecules; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Carboxylic acid amides; Carboxylic acid derivatives; Primary carboxylic acid amides; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	180.100	141	2.347	845630576455518883	845630487985063318	845630487985063317	47	
1	C8H12O2	[M + H3N + H]+	C8H16NO2+	Fatty acids	0.977	Fatty Acids and Conjugates	0.707	Unsaturated fatty acids	0.849	Organic acids and derivatives	0.723	Carboxylic acids and derivatives	0.773	Carboxylic acids	0.641			Carboxylic acids	0.641	Organic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	158.118	141	2.350	845630576157723241	845630487943120274	845630487943120273	46	
2	C10H22N2O2	[M + H]+	C10H23N2O2+	Amino acids and Peptides	0.544	Small peptides	0.589	Aminoacids	0.358	Organic acids and derivatives	0.690	Carboxylic acids and derivatives	0.735	Amino acids, peptides, and analogues	0.702	Amino acids and derivatives	0.702	Amino acids and derivatives	0.702	Organic compounds; Amino acids, peptides, and analogues; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Monocarboxylic acids and derivatives; Carbonyl compounds; Amines; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	203.175	141	2.354	845630575696349784	845630488027006362	845630488027006361	48	
1	C10H16O4	[M + H3N + H]+	C10H20NO4+	Fatty acids	0.909	Fatty Acids and Conjugates	0.822	Dicarboxylic acids	0.759	Organic acids and derivatives	0.993	Carboxylic acids and derivatives	0.989	Dicarboxylic acids and derivatives	0.802			Dicarboxylic acids and derivatives	0.802	Organic compounds; Lipids and lipid-like molecules; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Dicarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	218.139	151	2.523	845630577055304482	845630488073143710	845630488073143709	49	
2	C10H16O3	[M + H3N + H]+	C10H20NO3+	Fatty acids	0.844	Fatty acyls	0.201	Jasmonic acids	0.238	Organic acids and derivatives	0.561	Carboxylic acids and derivatives	0.584	Monocarboxylic acids and derivatives	0.533			Monocarboxylic acids and derivatives	0.533	Organic compounds; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Monocarboxylic acids and derivatives; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	202.144	155	2.582	845630576468101815	845630488115086754	845630488115086753	50	
1	C8H14O3	[M + H3N + H]+	C8H18NO3+	Fatty acids	0.959	Fatty Acids and Conjugates	0.518	Lactones	0.348	Organic acids and derivatives	0.692	Carboxylic acids and derivatives	0.717	Monocarboxylic acids and derivatives	0.618			Monocarboxylic acids and derivatives	0.618	Organic compounds; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Monocarboxylic acids and derivatives; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	176.128	162	2.694	845630576342272658	845630488161224102	845630488157029797	51	
1	C8H12O	[M + H3N + H]+	C8H16NO+	Fatty acids	0.985	Fatty acyls	0.948	Fatty aldehydes	0.947	Organic oxygen compounds	0.991	Organooxygen compounds	0.985	Carbonyl compounds	0.850			Carbonyl compounds	0.850	Organic compounds; Organooxygen compounds; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	142.123	169	2.815	845630576027699810	845630488404493754	845630488404493753	56	
1	C11H21NO3	[M + H3N + H]+	C11H25N2O3+	Fatty acids	0.503	Small peptides	0.510	Aminoacids	0.178	Organic acids and derivatives	0.995	Carboxylic acids and derivatives	0.994	Amino acids, peptides, and analogues	0.578	Amino acids and derivatives	0.578	Amino acids and derivatives	0.578	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty acid esters; Amino acids and derivatives; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acid esters; Carbonyl compounds; Amines; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	233.186	169	2.815	845630576212249216	845630488450631102	845630488446436797	57	
1	C9H14O3	[M + H3N + H]+	C9H18NO3+	Fatty acids	0.969	Fatty Acids and Conjugates	0.814	Oxo fatty acids	0.861	Lipids and lipid-like molecules	0.769	Fatty Acyls	0.717	Fatty acids and conjugates	0.648			Fatty acids and conjugates	0.648	Organic compounds; Lipids and lipid-like molecules; Ketones; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	188.128	169	2.815	845630577093053235	845630488207361450	845630488203167145	52	
3	C9H17NO3	[M + Na]+	C9H17NNaO3+	Amino acids and Peptides	0.427	Ornithine alkaloids	0.179	Aminoacids	0.141	Organic acids and derivatives	0.862	Carboxylic acids and derivatives	0.819	Carboxylic acid derivatives	0.620	Carboxylic acid amides	0.551	Carboxylic acid amides	0.551	Organic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Carboxylic acid amides; Carboxylic acid derivatives; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	210.110	169	2.815	845630577827056526	845630488253498798	845630488253498797	53	
1	C8H10	[M + H3N + H]+	C8H14N+	Fatty acids	0.795	Fatty acyls	0.781	Hydrocarbons	0.214	Hydrocarbons	0.993	Unsaturated hydrocarbons	0.956	Olefins	0.586			Olefins	0.586	Organic compounds; Hydrocarbons; Olefins; Unsaturated hydrocarbons; Unsaturated aliphatic hydrocarbons; Chemical entities	124.112	169	2.815	845630581719371234	845630488345773494	845630488345773493	55	
1	C9H12O2	[M + H3N + H]+	C9H16NO2+	Fatty acids	0.959	Fatty Acids and Conjugates	0.468	Unsaturated fatty acids	0.714	Organic acids and derivatives	0.503	Carboxylic acids and derivatives	0.515	Monocarboxylic acids and derivatives	0.685			Monocarboxylic acids and derivatives	0.685	Organic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Monocarboxylic acids and derivatives; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	170.118	169	2.815	845630591605346623	845630488299636146	845630488299636145	54	
1	C12H18O4	[M + H3N + H]+	C12H22NO4+	Terpenoids	0.884	Monoterpenoids	0.358	Menthane monoterpenoids	0.146	Lipids and lipid-like molecules	0.603							Lipids and lipid-like molecules	0.603	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	244.154	177	2.951	845630578363927535	845630488492574146	845630488488379841	58	
1	C11H21NO2	[M + H3N + H]+	C11H25N2O2+	Fatty acids	0.483	Monoterpenoids	0.527	Menthane monoterpenoids	0.254	Organic oxygen compounds	0.995	Organooxygen compounds	0.981	Carbonyl compounds	0.577			Carbonyl compounds	0.577	Organic compounds; Organonitrogen compounds; Organooxygen compounds; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	217.191	180	2.997	845630575692155478	845630488530322886	845630488530322885	59	
1	C9H14O2	[M + H3N + H]+	C9H18NO2+	Fatty acids	0.982	Fatty Acids and Conjugates	0.829	Unsaturated fatty acids	0.884	Lipids and lipid-like molecules	0.543							Lipids and lipid-like molecules	0.543	Organic compounds; Lipids and lipid-like molecules; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	172.133	180	3.004	845630604158899927	845630488576460234	845630488576460233	60	
1	C11H16O4	[M + H3N + H]+	C11H20NO4+	Fatty acids	0.971	Fatty Acids and Conjugates	0.895	Dicarboxylic acids	0.867	Lipids and lipid-like molecules	0.885	Fatty Acyls	0.840	Fatty acids and conjugates	0.846	Medium-chain fatty acids	0.595	Medium-chain fatty acids	0.595	Organic compounds; Lipids and lipid-like molecules; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Branched fatty acids; Unsaturated fatty acids; Dicarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Medium-chain fatty acids; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	230.139	187	3.122	845630602334377461	845630488614208974	845630488614208973	61	
3	C12H19N2O4	[M + H3N + H]+	C12H23N3O4+	Amino acids and Peptides	0.813	Linear polyketides	0.338	Dipeptides	0.141	Lipids and lipid-like molecules	0.703	Fatty Acyls	0.660					Fatty Acyls	0.660	Organic compounds; Lipids and lipid-like molecules; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Carboxylic acid amides; Carboxylic acid derivatives; Secondary carboxylic acid amides; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	273.167	199	3.313	845630605668849506	845630488660346322	845630488660346321	62	
1	C12H16O4	[M + H3N + H]+	C12H20NO4+	Terpenoids	0.416	Sesquiterpenoids	0.158	Macrolide lactones	0.181	Organic oxygen compounds	1.000	Organooxygen compounds	1.000	Alcohols and polyols	0.738	Secondary alcohols	0.547	Secondary alcohols	0.547	Organic compounds; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Monocarboxylic acids and derivatives; Carboxylic acids; Secondary alcohols; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	242.139	200	3.334	845630608449673481	845630488719066582	845630488714872277	63	
1	C10H14O2	[M + H3N + H]+	C10H18NO2+	Fatty acids	0.809	Fatty Acids and Conjugates	0.346	Unsaturated fatty acids	0.581	Organic acids and derivatives	0.687	Carboxylic acids and derivatives	0.680	Monocarboxylic acids and derivatives	0.720			Monocarboxylic acids and derivatives	0.720	Organic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Monocarboxylic acids and derivatives; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	184.133	201	3.352	845630597385098252	845630488769398234	845630488769398233	64	
1	C10H16O3	[M + H3N + H]+	C10H20NO3+	Fatty acids	0.584	Fatty Acids and Conjugates	0.256	Lactones	0.172	Lipids and lipid-like molecules	0.512							Lipids and lipid-like molecules	0.512	Organic compounds; Lipids and lipid-like molecules; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	202.144	201	3.356	845630586526044001	845630488815535582	845630488811341277	65	
1	C10H19NO3	[M + Na]+	C10H19NNaO3+	Amino acids and Peptides	0.646	Small peptides	0.492	Aminoacids	0.314	Organic acids and derivatives	0.998	Carboxylic acids and derivatives	0.997	Amino acids, peptides, and analogues	0.850	Amino acids and derivatives	0.849	Alpha amino acids and derivatives	0.723	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Branched fatty acids; Amino acids and derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	224.126	201	3.356	845630607942162595	845630488865867234	845630488865867233	66	
1	C12H17ClO3	[M + K]+	C12H17ClKO3+	Polyketides	0.868	Sesquiterpenoids	0.171	Azaphilones	0.218	Organohalogen compounds	1.000	Aryl halides	0.675	Aryl chlorides	0.641			Aryl chlorides	0.641	Organic compounds; Ketones; Organohalogen compounds; Organooxygen compounds; Aryl chlorides; Organochlorides; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; Aryl halides; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	283.050	213	3.557	845630596034532192	845630488928781798	845630488928781797	67	
