formulaRank	molecularFormula	adduct	precursorFormula	ZodiacScore	SiriusScoreNormalized	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	compoundId	mappingFeatureId	overallFeatureQuality
1	C8H21F2N2O2Si	[M + Na]+	C8H21F2N2NaO2Si+	0.999	1.000	58.675	58.675	0.000	13	0.509	-2.302	3.235	-0.757		266.123	76	1.265	845630607241713759	845630486974235974	845630486970041669	27	
1	C9H16FNO5S	[M - H2O + H]+	C9H15FNO4S+	0.666	0.333	64.686	64.686	0.000	13	0.462	-3.490	4.425	-71446.530		252.071	77	1.275	845630603223570054	845630487020373322	845630487020373321	28	
1	C6H14O4	[M + H]+	C6H15O4+	1.000	1.000	10.010	10.010	0.000	1	0.008	3.798	3.798	0.560		151.097	79	1.317	845630601831060917	845630486873572670	845630486873572669	25	
1	C8H21F2N2O2Si	[M + Na]+	C8H21F2N2NaO2Si+	1.000	1.000	59.073	59.073	0.000	13	0.511	-2.339	3.311	-0.795		266.123	95	1.588	845630610433579505	845630487125230930	845630487125230929	30	
1	C8H10O2	[M + H3N + H]+	C8H14NO2+	1.000	0.333	163.175	163.175	0.000	24	0.598	8.543	8.543	1.120		156.102	99	1.651	845630577835445155	845630487070704974	845630487070704973	29	
1	C7H8O2	[M + H3N + H]+	C7H12NO2+	1.000	0.333	81.182	81.182	0.000	9	0.023	6.896	6.896	0.387		142.086	104	1.727	845630576774286070	845630487188145494	845630487188145493	31	
1	C7H9NaO2	[M + H3N + H]+	C7H13NNaO2+	0.991	0.333	8.863	8.863	0.000	1	0.044	0.540	0.540	0.546		166.084	104	1.735	845630576610708166	845630487263642970	845630487263642969	32	
1	C7H12O2	[M + H3N + H]+	C7H16NO2+	1.000	0.333	60.929	60.929	0.000	8	0.062	7.742	7.742	0.307		146.118	107	1.790	845630575700544092	845630487309780318	845630487309780317	33	
1	C6H15O5	[M + H]+	C6H16O5+	0.325	0.334	5.620	5.620	0.000	1	0.033	6.278	6.278	1.993		168.100	107	1.790	845630577034332936	845630487360111970	845630487360111969	34	
1	C8H18BF2N2O3	[M + H3N + H]+	C8H22BF2N3O3+	1.000	0.500	50.341	50.341	0.000	14	0.224	0.936	1.293	0.717		256.175	119	1.991	845630595799651108	845630487410443622	845630487410443621	35	
1	C12H26O6	[M + H3N + H]+	C12H30NO6+	0.996	0.988	68.731	68.731	0.000	11	0.129	0.372	0.396	-0.032		284.207	119	1.991	845630595849982790	845630487456580970	845630487456580969	36	
1	C9H14O4	[M + H3N + H]+	C9H18NO4+	0.385	0.308	33.163	33.163	0.000	5	0.024	0.674	0.674	0.468		204.123	120	2.004	845630578544282634	845630487502718318	845630487502718317	37	
1	C9H15NO2	[M + H3N + H]+	C9H19N2O2+	1.000	0.333	164.025	160.795	3.231	19	0.403	5.317	5.317	-0.183		187.144	129	2.145	845630581425769914	845630487553049970	845630487553049969	38	
1	C7H14N8O	[M - H2O + H]+	C7H13N8+	0.428	0.282	7.262	5.271	1.992	2	0.037	4.545	4.545	-86121.093		209.126	129	2.145	845630599788434634	845630487603381622	845630487599187317	39	
1	C8H15NO3	[M + Na]+	C8H15NNaO3+	0.395	0.348	5.108	1.934	3.174	0	0.000	0.816	0.816	0.693		196.095	136	2.272	845630579756436613	845630487754376578	845630487754376577	42	
1	C8H12O3	[M + H3N + H]+	C8H16NO3+	0.997	0.333	141.558	138.406	3.151	22	0.861	5.681	5.681	0.748		174.113	136	2.272	845630579991317733	845630487708239230	845630487704044925	41	
1	C8H12O3	[M - H2O + H]+	C8H11O2+	0.861	0.500	123.570	120.371	3.199	19	0.941	7.589	7.589	-129501.356		139.075	136	2.272	845630589835350161	845630487649518970	845630487649518969	40	
1	C8H10O2	[M + H3N + H]+	C8H14NO2+	1.000	0.333	174.765	171.588	3.177	20	0.391	7.238	7.238	1.056		156.102	136	2.274	845630584181427840	845630487804708230	845630487804708229	43	
1	C8H18NNaO3	[M - H2O + H]+	C8H17NNaO2+	0.512	0.329	26.852	26.852	0.000	6	0.176	0.552	0.552	-98896.120		182.115	140	2.335	845630595472495367	845630487896982926	845630487892788621	45	
1	C8H14O2	[M + H3N + H]+	C8H18NO2+	1.000	0.333	139.146	135.888	3.259	19	0.588	7.104	7.104	0.155		160.133	140	2.339	845630576208054906	845630487850845578	845630487850845577	44	
1	C8H15NO2	[M + Na]+	C8H15NNaO2+	0.886	0.877	8.484	8.484	0.000	2	0.051	0.496	0.496	0.142		180.100	141	2.347	845630576455518883	845630487985063318	845630487985063317	47	
1	C8H12O2	[M + H3N + H]+	C8H16NO2+	0.999	0.333	140.199	140.199	0.000	17	0.588	8.453	8.453	1.106		158.118	141	2.350	845630576157723241	845630487943120274	845630487943120273	46	
1	C10H24N2O3	[M - H2O + H]+	C10H23N2O2+	0.639	0.333	30.312	30.312	0.000	5	0.152	0.184	0.184	-88645.101		203.175	141	2.354	845630575696349786	845630488027006362	845630488027006361	48	
1	C10H16O4	[M + H3N + H]+	C10H20NO4+	0.440	0.333	90.453	86.983	3.471	18	0.973	6.291	6.291	0.483		218.139	151	2.523	845630577055304482	845630488073143710	845630488073143709	49	
1	C10H21NO4	[M - H2O + H]+	C10H20NO3+	0.414	0.333	33.322	33.322	0.000	8	0.081	0.325	0.325	-89097.770		202.144	155	2.582	845630576468101816	845630488115086754	845630488115086753	50	
1	C8H14O3	[M + H3N + H]+	C8H18NO3+	1.000	0.333	96.820	96.820	0.000	19	0.866	7.747	7.747	0.512		176.128	162	2.694	845630576342272658	845630488161224102	845630488157029797	51	
1	C8H12O	[M + H3N + H]+	C8H16NO+	1.000	0.333	193.009	189.833	3.176	18	0.324	8.675	8.675	0.489		142.123	169	2.815	845630576027699810	845630488404493754	845630488404493753	56	
1	C11H21NO3	[M + H3N + H]+	C11H25N2O3+	0.999	0.333	76.277	72.824	3.453	8	0.687	2.153	2.153	0.090		233.186	169	2.815	845630576212249216	845630488450631102	845630488446436797	57	
1	C9H14O3	[M + H3N + H]+	C9H18NO3+	1.000	0.333	165.439	162.049	3.390	27	0.936	5.289	5.289	0.320		188.128	169	2.815	845630577093053235	845630488207361450	845630488203167145	52	
1	C8H19O7	[M - H2O + H]+	C8H18O6+	0.479	0.368	7.525	4.661	2.864	2	0.050	1.948	1.948	-85717.659		210.110	169	2.815	845630577827056525	845630488253498798	845630488253498797	53	
1	C8H10	[M + H3N + H]+	C8H14N+	0.997	0.333	83.995	80.946	3.049	16	0.668	8.576	8.576	1.806		124.112	169	2.815	845630581719371234	845630488345773494	845630488345773493	55	
1	C9H12O2	[M + H3N + H]+	C9H16NO2+	1.000	0.333	224.388	221.008	3.380	29	0.520	6.186	6.186	0.205		170.118	169	2.815	845630591605346623	845630488299636146	845630488299636145	54	
1	C12H18O4	[M + H3N + H]+	C12H22NO4+	0.965	0.333	84.496	84.496	0.000	16	0.241	0.373	0.373	0.104		244.154	177	2.951	845630578363927535	845630488492574146	845630488488379841	58	
1	C11H21NO2	[M + H3N + H]+	C11H25N2O2+	0.991	0.333	26.696	26.696	0.000	5	0.217	0.424	0.424	0.578		217.191	180	2.997	845630575692155478	845630488530322886	845630488530322885	59	
1	C9H14O2	[M + H3N + H]+	C9H18NO2+	1.000	0.333	159.372	159.372	0.000	18	0.578	6.897	6.897	0.086		172.133	180	3.004	845630604158899927	845630488576460234	845630488576460233	60	
1	C11H16O4	[M + H3N + H]+	C11H20NO4+	0.397	0.333	68.778	68.778	0.000	11	0.191	0.590	0.590	0.198		230.139	187	3.122	845630602334377461	845630488614208974	845630488614208973	61	
1	C12H24N3O5	[M - H2O + H]+	C12H23N3O4+	0.811	0.313	33.847	33.847	0.000	11	0.308	-0.369	0.467	-65936.380		273.167	199	3.313	845630605668849507	845630488660346322	845630488660346321	62	
1	C12H16O4	[M + H3N + H]+	C12H20NO4+	0.972	0.333	129.027	129.027	0.000	21	0.315	0.563	0.563	-0.081		242.139	200	3.334	845630608449673481	845630488719066582	845630488714872277	63	
1	C10H14O2	[M + H3N + H]+	C10H18NO2+	1.000	0.333	231.777	228.317	3.459	36	0.803	6.683	6.683	0.569		184.133	201	3.352	845630597385098252	845630488769398234	845630488769398233	64	
1	C10H16O3	[M + H3N + H]+	C10H20NO3+	0.999	0.333	78.349	78.349	0.000	10	0.248	0.703	0.703	0.099		202.144	201	3.356	845630586526044001	845630488815535582	845630488811341277	65	
1	C10H19NO3	[M + Na]+	C10H19NNaO3+	1.000	1.000	51.431	51.431	0.000	8	0.235	0.602	0.703	1.766		224.126	201	3.356	845630607942162595	845630488865867234	845630488865867233	66	
1	C12H17ClO3	[M + K]+	C12H17ClKO3+	1.000	1.000	122.919	122.919	0.000	19	0.695	2.365	2.365	1.307		283.050	213	3.557	845630596034532192	845630488928781798	845630488928781797	67	
1	C11H14O2	[M + H3N + H]+	C11H18NO2+	0.999	0.333	105.629	105.629	0.000	14	0.223	1.222	1.222	0.534		196.133	221	3.677	845630587599785916	845630489012667886	845630489008473581	69	
1	C10H14O	[M + H3N + H]+	C10H18NO+	1.000	0.333	120.095	120.095	0.000	18	0.035	5.458	5.458	0.532		168.138	221	3.677	845630597699671067	845630488970724842	845630488970724841	68	
1	C11H19NO3	[M + Na]+	C11H19NNaO3+	1.000	1.000	46.957	46.957	0.000	11	0.270	0.370	0.632	0.194		236.126	221	3.677	845630603064186479	845630489050416626	845630489050416625	70	
1	C11H16O2	[M + H3N + H]+	C11H20NO2+	1.000	0.333	257.197	253.720	3.477	43	0.881	5.621	5.621	0.781		198.149	232	3.864	845630593593446972	845630489172051454	845630489172051453	73	
1	C10H16O	[M + H3N + H]+	C10H20NO+	1.000	0.333	166.839	166.839	0.000	19	0.405	6.247	6.247	0.466		170.154	232	3.865	845630577650895700	845630489130108410	845630489130108409	72	
1	C11H18O3	[M + H3N + H]+	C11H22NO3+	1.000	0.333	135.213	131.738	3.474	25	0.916	3.599	3.599	0.601		216.160	232	3.865	845630578770775097	845630489213994498	845630489213994497	74	
1	C11H21NO3	[M + Na]+	C11H21NNaO3+	1.000	1.000	70.048	70.048	0.000	12	0.284	0.473	0.473	-0.312		238.141	232	3.865	845630579953568938	845630489251743238	845630489251743237	75	
1	C10H14	[M + H3N + H]+	C10H18N+	1.000	0.333	44.278	44.278	0.000	5	0.004	5.479	5.479	0.552		152.143	232	3.865	845630580758875482	845630489088165366	845630489088165365	71	
1	C11H16O5	[M - H2O + H]+	C11H15O4+	0.718	0.500	35.990	35.990	0.000	6	0.166	0.704	0.704	-85318.446		211.097	232	3.868	845630588954546270	845630489339823630	845630489335629325	77	
1	C9H10O3	[M - H2O + H]+	C9H9O2+	0.766	0.500	64.271	61.104	3.167	8	0.926	5.969	5.969	-120827.374		149.060	232	3.869	845630590162505909	845630489293686282	845630489293686281	76	
1	C12H27NO3	[M + H]+	C12H28NO3+	0.553	0.500	53.564	49.994	3.570	16	0.896	7.047	7.047	0.213		234.206	235	3.913	845630580846955883	845630489381766674	845630489381766673	78	
1	C12H23N3O7S	[M - H2O + H]+	C12H22N3O6S+	0.387	0.333	80.056	80.056	0.000	25	0.729	-1.801	2.832	-53581.764		336.123	239	3.978	845630600937674048	845630489419515414	845630489419515413	79	
1	C13H29NO2	[M + H]+	C13H30NO2+	0.949	0.500	36.046	36.046	0.000	8	0.225	0.194	0.379	0.148		232.227	259	4.322	845630580293307658	845630489461458458	845630489457264153	80	
1	C12H18O2	[M + H3N + H]+	C12H22NO2+	0.995	0.333	117.753	117.753	0.000	18	0.257	0.595	0.595	0.470		212.165	261	4.351	845630576770091756	845630489532761630	845630489532761629	81	
1	C13H25NO3	[M + Na]+	C13H25NNaO3+	1.000	1.000	72.809	72.809	0.000	13	0.330	0.262	0.305	0.134		266.173	289	4.809	845630577692838745	845630489570510370	845630489570510369	82	
1	C13H20O2	[M + H3N + H]+	C13H24NO2+	1.000	0.333	217.499	213.799	3.700	39	0.810	3.637	3.637	0.109		226.180	289	4.809	845630595090813661	845630489612453414	845630489612453413	83	
1	C13H22O3	[M + H3N + H]+	C13H26NO3+	1.000	0.333	157.265	153.521	3.744	32	0.838	2.992	2.992	0.491		244.191	289	4.812	845630604494444278	845630489654396458	845630489654396457	84	
1	C12H27NO	[M + H]+	C12H28NO+	0.924	0.500	29.874	29.874	0.000	6	0.174	0.339	0.339	0.144		202.217	290	4.837	845630599264146596	845630489687950894	845630489687950893	85	
1	C10H20O4	[M + Na]+	C10H20NaO4+	0.550	0.625	11.975	11.975	0.000	2	0.027	0.076	0.361	0.045		227.125	293	4.890	845630600233030934	845630489725699634	845630489725699633	86	
1	C14H31NO3	[M + H]+	C14H32NO3+	0.514	0.500	43.873	40.098	3.775	15	0.765	6.688	6.688	0.075		262.238	295	4.914	845630576304523915	845630489767642678	845630489763448373	87	
1	C13H20O5	[M - H2O + H]+	C13H19O4+	0.665	0.500	49.356	49.356	0.000	8	0.174	0.146	0.146	-75317.811		239.128	300	4.995	845630606033754017	845630489801197114	845630489801197113	88	
1	C10H22O3	[M + H]+	C10H23O3+	1.000	1.000	14.094	14.094	0.000	3	0.069	0.271	0.271	0.230		191.164	303	5.048	845630576296135305	845630489838945854	845630489838945853	89	
1	C11H20N2O7S	[M - H2O + H]+	C11H19N2O6S+	0.573	0.306	71.357	71.357	0.000	24	0.731	-3.261	3.305	-58646.282		307.096	315	5.254	845630608227375310	845630489876694594	845630489876694593	90	
1	C9H22Si	[M + H]+	C9H23Si+	1.000	1.000	10.235	10.235	0.000	4	0.002	4.815	4.815	5.035		159.157	321	5.347	845630595690599190	845630489947997770	845630489947997769	92	
1	C13H23N4O2	[M - H2O + H]+	C13H22N4O+	0.420	0.318	27.576	27.576	0.000	8	0.425	0.154	0.507	-71995.214		250.178	321	5.352	845630578342955995	845630489910249030	845630489910249029	91	
1	C13H27NO3	[M - H2O + H]+	C13H26NO2+	0.415	0.333	49.020	49.020	0.000	11	0.442	0.443	0.526	-78925.642		228.196	321	5.353	845630577789307768	845630489985746510	845630489985746509	93	
1	C13H20O3	[M + H]+	C13H21O3+	0.553	0.500	111.932	108.267	3.665	17	0.419	3.214	3.214	0.129		225.149	329	5.477	845630587708837835	845630490031883858	845630490027689553	94	
1	C33H47NO9	[M - H2O + H]+	C33H46NO8+	0.507	0.238	36.887	36.887	0.000	13	0.680	-0.289	0.662	-30822.360		584.322	329	5.478	845630596906947511	845630490069632598	845630490069632597	95	
1	C14H22O4	[M + H]+	C14H23O4+	0.499	0.498	46.390	46.390	0.000	7	0.160	0.034	0.158	-0.022		255.159	331	5.520	845630588191182880	845630490107381338	845630490107381337	96	
1	C12H14O3	[M - H2O + H]+	C12H13O2+	0.929	0.498	22.857	22.857	0.000	2	0.126	0.148	0.148	-95247.962		189.091	340	5.660	845630584076570219	845630490145130078	845630490145130077	97	
1	C11H18O2	[M - H2O + H]+	C11H17O+	0.909	0.500	160.394	160.394	0.000	22	0.664	4.048	4.048	-109070.201		165.127	342	5.695	845630601944307134	845630490182878818	845630490182878817	98	
1	C33H47NO9	[M - H2O + H]+	C33H46NO8+	0.511	0.275	26.122	26.122	0.000	8	0.485	-0.338	0.704	-30822.308		584.322	343	5.716	845630608793606487	845630490220627558	845630490220627557	99	
1	C10H10O4	[M - H2O + H]+	C10H9O3+	0.669	0.500	21.214	21.214	0.000	3	0.112	1.589	1.589	-101722.718		177.055	344	5.725	845630585813012195	845630490258376298	845630490258376297	100	
1	C14H28O	[M + H3N + H]+	C14H32NO+	0.952	0.500	28.325	24.585	3.739	6	0.604	9.710	9.710	0.343		230.248	344	5.735	845630595086619352	845630490296125038	845630490296125037	101	
1	C31H22O11	[M - H2O + H]+	C31H21O10+	0.585	0.500	21.006	17.242	3.764	5	0.266	0.802	0.853	-32561.425		553.113	344	5.735	845630610211281338	845630490333873778	845630490333873777	102	
1	C16H35NO3	[M + H]+	C16H36NO3+	0.548	0.500	41.844	38.032	3.812	14	0.815	5.877	5.877	-0.174		290.269	346	5.774	845630595774485271	845630490371622518	845630490371622517	103	
1	C30H20O11	[M - H2O + H]+	C30H19O10+	0.509	0.497	11.963	8.386	3.577	4	0.200	0.008	0.823	-33408.044		539.098	348	5.799	845630609552775553	845630490409371258	845630490409371257	104	
1	C16H35NO3	[M - H2O + H]+	C16H34NO2+	0.484	0.333	52.696	52.696	0.000	12	0.236	0.371	0.371	-66152.409		272.258	351	5.855	845630580737903957	845630490447119998	845630490447119997	105	
1	C15H21NO4	[M - H2O + H]+	C15H20NO3+	0.630	0.333	60.116	60.116	0.000	10	0.247	0.339	0.339	-68704.769		262.144	355	5.920	845630591747953010	845630490480674434	845630490480674433	106	
1	C17H37NO2	[M + H]+	C17H38NO2+	0.787	0.500	42.363	38.446	3.917	8	0.721	6.923	6.923	-0.055		288.290	357	5.947	845630579496389734	845630490518423174	845630490518423173	107	
1	C2H5N3S	[M + K]+	C2H5KN3S+	0.688	0.700	4.975	4.975	0.000	2	0.062	-7.776	7.776	-2.122		141.983	357	5.949	845630584399531686	845630490556171914	845630490556171913	108	
1	C13H20O2	[M - H2O + H]+	C13H19O+	1.000	0.500	30.481	30.481	0.000	4	0.137	0.339	0.339	-94225.250		191.143	361	6.023	845630578162600884	845630490589726350	845630490589726349	109	
1	C17H37NO2	[M + H]+	C17H38NO2+	0.806	0.500	42.210	38.337	3.873	8	0.658	7.311	7.311	-0.090		288.290	366	6.107	845630581694205401	845630490627475090	845630490627475089	110	
1	C13H20O2	[M - H2O + H]+	C13H19O+	0.998	0.500	29.900	29.900	0.000	4	0.136	0.239	0.290	-94225.221		191.143	368	6.130	845630580331056397	845630490665223830	845630490665223829	111	
1	C12H20O2	[M - H2O + H]+	C12H19O+	0.979	0.500	43.272	43.272	0.000	6	0.179	0.279	0.279	-100537.410		179.143	369	6.151	845630596802089885	845630490698778266	845630490698778265	112	
1	C13H20O2	[M - H2O + H]+	C13H19O+	0.999	0.500	30.724	30.724	0.000	3	0.136	0.217	0.264	-94225.250		191.143	376	6.265	845630577034332927	845630490774275746	845630490770081441	114	
1	C15H23ClN2O3	[M + K]+	C15H23ClKN2O3+	1.000	1.000	80.984	80.984	0.000	28	0.723	2.147	2.230	-2.742		353.102	376	6.271	845630602770585135	845630490736527006	845630490736527005	113	
1	C11H18O2	[M - H2O + H]+	C11H17O+	0.919	0.500	143.261	143.261	0.000	18	0.647	4.200	4.200	-109070.133		165.127	378	6.304	845630579504778351	845630490812024486	845630490807830181	115	
1	C16H36ClN3O	[M + Na]+	C16H36ClN3NaO+	1.000	0.998	90.539	90.539	0.000	25	0.646	1.500	2.116	-2.269		344.243	379	6.314	845630606415435733	845630490845578922	845630490845578921	116	
1	C14H22O2	[M - H2O + H]+	C14H21O+	0.943	0.500	30.542	30.542	0.000	3	0.122	0.266	0.329	-87787.987		205.159	386	6.439	845630580805012836	845630490879133358	845630490879133357	117	
1	C18H30O5	[M + H3N + H]+	C18H34NO5+	0.973	0.333	73.844	70.002	3.842	14	0.863	1.591	1.591	-0.057		344.243	388	6.463	845630584797990595	845630490921076402	845630490916882097	118	
1	C20H34N3O5S	[M + H3N + H]+	C20H38N4O5S+	1.000	0.333	98.206	98.206	0.000	33	0.584	-2.261	2.646	-4.398		446.254	388	6.469	845630603294873257	845630490954630838	845630490954630837	119	
1	C24H32O7	[M - H2O + H]+	C24H31O6+	0.746	0.479	21.935	18.086	3.849	6	0.989	2.437	2.437	-43376.856		415.212	388	6.475	845630579102125126	845630490996573882	845630490992379577	120	
1	C26H39NO7	[M - H2O + H]+	C26H38NO6+	0.558	0.333	52.766	46.029	6.737	17	0.910	2.514	2.620	-39130.407		460.269	388	6.475	845630591580180778	845630491143374538	845630491143374537	124	
1	C24H30O6	[M + Na]+	C24H30NaO6+	0.729	0.752	8.162	4.487	3.674	0	0.000	-0.159	0.159	-0.021		437.193	389	6.479	845630594377781834	845630491072071362	845630491072071361	122	
1	C24H30O6	[M + H3N + H]+	C24H34NO6+	0.983	0.333	54.934	51.120	3.814	7	0.590	1.908	1.908	0.291		432.238	389	6.479	845630605392025407	845630491034322622	845630491034322621	121	
1	C21H30N2O8S	[M - H2O + H]+	C21H29N2O7S+	0.733	0.271	111.681	111.681	0.000	31	0.511	-3.186	3.292	-39747.124		453.167	389	6.479	845630630574627486	845630491105625798	845630491105625797	123	
1	C18H39NO2	[M + H]+	C18H40NO2+	0.804	0.500	47.896	43.978	3.918	10	0.747	5.148	5.148	-0.119		302.305	390	6.505	845630595199865591	845630491185317582	845630491185317581	125	
1	C12H20N3O4	[M - H2O + H]+	C12H19N3O3+	0.658	0.333	48.532	48.532	0.000	13	0.355	0.309	0.583	-71152.393		253.141	392	6.540	845630607841499278	845630491239843538	845630491235649233	126	
1	C16H36ClN3O	[M + Na]+	C16H36ClN3NaO+	0.983	0.879	94.076	94.076	0.000	27	0.670	1.441	2.336	-2.327		344.243	397	6.613	845630597905191968	845630491273397974	845630491273397973	127	
1	C16H35NO4	[M - H2O + H]+	C16H34NO3+	0.744	0.333	56.037	56.037	0.000	13	0.274	0.359	0.359	-62481.874		288.253	399	6.654	845630586530238314	845630491311146714	845630491311146713	128	
1	C19H41NO2	[M + H]+	C19H42NO2+	0.803	0.500	47.762	47.762	0.000	11	0.246	0.409	0.409	-0.272		316.321	404	6.735	845630578334567380	845630491348895454	845630491348895453	129	
1	C3H2ClO3	[M + Na]+	C3H2ClNaO3+	0.948	0.109	7.143	7.143	0.000	4	0.009	7.354	7.354	4.013		143.959	413	6.891	845630601587791253	845630491386644194	845630491382449889	130	
1	C12H22O2	[M - H2O + H]+	C12H21O+	0.979	0.500	45.198	45.198	0.000	6	0.197	0.239	0.239	-99418.485		181.159	418	6.975	845630592435818931	845630491420198630	845630491420198629	131	
1	C18H30O	[M + H3N + H]+	C18H34NO+	1.000	0.333	174.710	170.827	3.883	18	0.572	2.650	2.650	0.103		280.264	419	6.979	845630599427724476	845630491457947370	845630491457947369	132	
