CLUSTERID1	CLUSTERID2	DeltaMZ	MinRatio	Cosine	AlignScore2	AlignScore3
1177	1301	435.134	0.000	0.7673	0.4451	1
1177	1309	15.974	0.000	0.8610	0.4200	1
1177	1333	449.150	0.000	0.7865	0.4290	1
1177	1334	435.134	0.000	0.7286	0.4494	1
1177	1362	435.076	0.000	0.7295	0.4482	1
1177	1371	435.134	0.000	0.7607	0.4494	1
1177	1396	464.185	0.000	0.8556	0.4184	1
1177	1439	435.134	0.000	0.7631	0.4648	1
1177	1477	435.134	0.000	0.7757	0.4497	1
1177	1570	15.974	0.000	0.8685	0.4367	1
1177	1714	435.134	0.000	0.7595	0.4282	1
1177	1831	464.185	0.000	0.8832	0.4761	1
1177	2115	435.133	0.000	0.7571	0.3964	1
1177	2303	464.185	0.000	0.8769	0.4472	1
1177	2667	464.186	0.000	0.8711	0.4488	1
1177	3293	464.185	0.000	0.8727	0.4370	1
1178	1198	46.042	0.000	0.9003	0.4326	1
1178	1209	-111.105	0.000	0.8819	0.4762	1
1178	1237	58.042	0.000	0.8411	0.4873	1
1178	1242	11.994	0.000	0.8792	0.5106	1
1178	1257	11.992	0.000	0.7952	0.4191	1
1178	1261	-0.000	0.000	0.9090	0.4437	1
1178	1265	-1.003	0.000	0.7826	0.4792	1
1178	1268	-111.105	0.000	0.8934	0.5167	1
1178	1274	-98.110	0.000	0.7378	0.3555	1
1178	1296	13.125	0.000	0.9085	0.4335	1
1178	1298	83.203	0.000	0.8998	0.4620	1
1178	1304	-96.094	0.000	0.9018	0.4774	1
1178	1315	32.025	0.000	0.8818	0.4541	1
1178	1348	44.026	0.000	0.8932	0.4727	1
1178	1350	83.203	0.000	0.9094	0.4879	1
1178	1373	-95.110	0.000	0.8886	0.5034	1
1178	1393	60.021	0.000	0.9101	0.4864	1
1178	1411	73.999	0.000	0.8697	0.4753	1
1178	1433	83.203	0.000	0.9135	0.4645	1
1178	1486	107.131	0.000	0.8207	0.4631	1
1178	1492	-97.126	0.000	0.8886	0.5070	1
1178	1498	-106.042	0.000	0.9025	0.4373	1
1178	1503	-72.094	0.000	0.8971	0.4498	1
1178	1515	83.203	0.000	0.8918	0.4199	1
1178	1518	13.125	0.000	0.8960	0.4653	1
1178	1535	-28.068	0.000	0.8880	0.4587	1
1178	1556	83.203	0.000	0.9073	0.4322	1
1178	1573	-28.068	0.000	0.8970	0.4255	1
1178	1577	-34.021	0.000	0.8967	0.4441	1
1178	1578	-94.079	0.000	0.8937	0.4434	1
1178	1606	13.125	0.000	0.9057	0.4313	1
1178	1613	25.117	0.000	0.8767	0.4256	1
1178	1662	-54.084	0.000	0.9096	0.4416	1
1178	1702	13.125	0.000	0.9061	0.4828	1
1178	1732	13.125	0.000	0.8998	0.4239	1
1178	1762	-19.949	0.000	0.8097	0.4797	1
1178	1787	-20.078	0.000	0.9079	0.4551	1
1178	1789	-21.081	0.000	0.7260	0.4364	1
1178	1804	-68.100	0.000	0.8618	0.4256	1
1178	1816	-40.104	0.000	0.9065	0.4214	1
1178	1831	13.125	0.000	0.9044	0.4323	1
1178	1850	-82.115	0.000	0.9119	0.4654	1
1178	1860	11.081	0.000	0.9164	0.5038	1
1178	1890	13.125	0.000	0.9164	0.4878	1
1178	1910	-82.115	0.000	0.9068	0.4857	1
1178	1925	12.123	0.000	0.7919	0.4101	1
1178	1931	-24.099	0.000	0.8287	0.4669	1
1178	1940	13.125	0.000	0.9058	0.4434	1
1178	1955	-22.094	0.000	0.8929	0.4316	1
1178	1956	-24.099	0.000	0.8197	0.4160	1
1178	1990	-20.079	0.000	0.8639	0.4515	1
1178	1998	39.979	0.000	0.8587	0.4447	1
1178	2017	13.126	0.000	0.8949	0.4450	1
1178	2036	-20.078	0.000	0.8783	0.4839	1
1178	2039	-8.115	0.000	0.8337	0.4109	1
1178	2055	12.925	0.000	0.8888	0.4881	1
1178	2085	-40.104	0.000	0.9139	0.4673	1
1178	2098	25.964	0.000	0.8048	0.4146	1
1178	2100	-52.068	0.000	0.9113	0.4437	1
1178	2108	11.962	0.000	0.7807	0.3963	1
1178	2109	-24.109	0.000	0.8999	0.4205	1
1178	2127	-18.930	0.000	0.9106	0.4447	1
1178	2152	-183.058	0.000	0.8980	0.4447	1
1178	2167	-56.136	0.000	0.9042	0.4322	1
1178	2174	-23.097	0.000	0.8269	0.3887	1
1178	2188	-56.136	0.000	0.9097	0.4437	1
1178	2192	13.125	0.000	0.9120	0.5081	1
1178	2200	-40.104	0.000	0.8964	0.4309	1
1178	2210	13.125	0.000	0.8961	0.4200	1
1178	2241	-0.052	0.000	0.8778	0.4204	1
1178	2255	61.964	0.000	0.8465	0.4452	1
1178	2262	-8.115	0.000	0.7235	0.3127	1
1178	2265	-22.094	0.000	0.9044	0.4608	1
1178	2274	-68.135	0.000	0.9124	0.4591	1
1178	2282	-54.084	0.000	0.8993	0.4478	1
1178	2297	73.964	0.000	0.8753	0.4455	1
1178	2303	13.125	0.000	0.8990	0.4579	1
1178	2304	-3.049	0.000	0.8526	0.4783	1
1178	2320	11.947	0.000	0.7821	0.3842	1
1178	2330	-80.099	0.000	0.9037	0.4336	1
1178	2337	-22.094	0.000	0.9062	0.4526	1
1178	2353	47.948	0.000	0.8938	0.4307	1
1178	2363	13.125	0.000	0.9182	0.5007	1
1178	2375	83.203	0.000	0.8988	0.4219	1
1178	2376	-80.099	0.000	0.9099	0.4821	1
1178	2384	-56.099	0.000	0.9141	0.5032	1
1178	2411	13.125	0.000	0.8972	0.4302	1
1178	2437	-2.068	0.000	0.8657	0.4193	1
1178	2441	21.932	0.000	0.8856	0.4318	1
1178	2452	-24.110	0.000	0.8956	0.4363	1
1178	2456	-8.114	0.000	0.8969	0.4157	1
1178	2464	13.125	0.000	0.8940	0.4325	1
1178	2466	33.931	0.000	0.7079	0.4376	1
1178	2490	-4.083	0.000	0.9146	0.4974	1
1178	2504	13.125	0.000	0.9050	0.4452	1
1178	2505	45.933	0.000	0.8816	0.4653	1
1178	2531	7.915	0.000	0.7671	0.4001	1
1178	2534	13.125	0.000	0.9034	0.4463	1
1178	2538	-30.099	0.000	0.8710	0.4409	1
1178	2541	-4.083	0.000	0.9024	0.4340	1
1178	2580	-108.976	0.000	0.8593	0.4460	1
1178	2593	-4.083	0.000	0.9055	0.4324	1
1178	2644	-6.098	0.000	0.8995	0.4229	1
1178	2662	5.901	0.000	0.8505	0.4521	1
1178	2670	-32.115	0.000	0.8760	0.4257	1
1178	2727	17.901	0.000	0.8698	0.4363	1
1178	2754	-6.099	0.000	0.8980	0.4393	1
1178	2766	-10.120	0.000	0.8055	0.4597	1
1178	2770	-9.117	0.000	0.8232	0.4509	1
1178	2808	-215.012	0.000	0.8993	0.4298	1
1178	2843	-7.101	0.000	0.8549	0.4777	1
1178	2865	-88.024	0.000	0.8642	0.4590	1
1178	2886	-150.214	0.000	0.8861	0.4532	1
1178	2888	-22.130	0.000	0.9123	0.5039	1
1178	2924	-34.130	0.000	0.8795	0.4634	1
1178	2925	17.901	0.000	0.8243	0.4617	1
1178	2949	-6.099	0.000	0.8959	0.4199	1
1178	2954	83.203	0.000	0.9034	0.4550	1
1178	2967	-179.054	0.000	0.8514	0.4433	1
1178	2973	-36.146	0.000	0.8810	0.4179	1
1178	3020	-169.835	0.000	0.7461	0.4540	1
1178	3048	-8.115	0.000	0.9071	0.4335	1
1178	3067	83.203	0.000	0.9026	0.4329	1
1178	3085	12.123	0.000	0.8037	0.4486	1
1178	3089	-179.054	0.000	0.9003	0.4434	1
1178	3093	-76.177	0.000	0.8821	0.4335	1
1178	3103	-38.161	0.000	0.8732	0.4526	1
1178	3106	-36.146	0.000	0.8953	0.4245	1
