"feature_id_full","feature_id","feature_mz","feature_rt","PET_vs_PS_p_value","PET_vs_Untreated_p_value","PS_vs_Untreated_p_value","PET_vs_PS_p_value_minus_log10","PET_vs_Untreated_p_value_minus_log10","PS_vs_Untreated_p_value_minus_log10","PS_vs_Untreated_fold_change","PET_vs_Untreated_fold_change","PET_vs_PS_fold_change","PS_vs_Untreated_fold_change_log2","PET_vs_Untreated_fold_change_log2","PET_vs_PS_fold_change_log2","canopus_npc_pathway","canopus_npc_superclass","canopus_npc_class","sirius_name","gnps_smiles","met_annot_structure_smiles","sirius_smiles","gnps_inchi","gnps_inchi_aux","gnps_inchikey","gnps_inchikey_planar","met_annot_short_inchikey","met_annot_structure_inchi","met_annot_structure_inchikey","sirius_inchi","sirius_inchikey2d"
"1621_887.56_6.1",1621,887.564644629879,6.1054053,0.467438850158024,0.0358087023746824,0.17266684402659,0.330275195007389,1.44601141653978,0.762791048875607,1.2708983221031,1.51813456127263,1.19453660050507,0.345848612510125,0.602299671041248,0.256451058531123,"Fatty acids","Glycerolipids","Diacylglycerols","methyl (3R,8Z,12Z,13E,19E,21S,22S)-16-ethenyl-11-ethyl-14-hydroxy-12-(hydroxymethylidene)-17,21,26-trimethyl-4-oxo-22-[3-oxo-3-[(E,7R,11R)-3,7,11,15-tetramethylhexadec-2-enoxy]propyl]-7,23,24,25-tetrazahexacyclo[18.2.1.15,8.110,13.115,18.02,6]hexacosa-2(6),5(26),8,10,13,15,17,19-octaene-3-carboxylate",NA,"CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)O[C@H](COC(=O)CCCCCCCCCCCCCCCCC)COP(=O)(O)OC1[C@H](O)[C@H](O)C(O)[C@H](O)[C@H]1O","CCC1=C2C=C3C(=C4C(=O)C(C(=C4N3)C5C(C(C(=CC6=C(C(=C(N6)C(=C(C1=CO)N2)O)C=C)C)N5)C)CCC(=O)OCC=C(C)CCCC(C)CCCC(C)CCCC(C)C)C(=O)OC)C",NA,NA,NA,NA,"KRTOMQDUKGRFDJ","InChI=1S/C47H83O13P/c1-3-5-7-9-11-13-15-17-19-20-22-24-26-28-30-32-34-36-41(49)59-39(38-58-61(55,56)60-47-45(53)43(51)42(50)44(52)46(47)54)37-57-40(48)35-33-31-29-27-25-23-21-18-16-14-12-10-8-6-4-2/h11,13,17,19,22,24,28,30,39,42-47,50-54H,3-10,12,14-16,18,20-21,23,25-27,29,31-38H2,1-2H3,(H,55,56)/b13-11-,19-17-,24-22-,30-28-/t39-,42?,43-,44+,45-,46-,47?/m1/s1","KRTOMQDUKGRFDJ-ZWTKVEACSA-N","InChI=1S/C55H76N4O7/c1-12-37-34(8)41-27-42-35(9)39(23-24-45(61)66-26-25-33(7)22-16-21-32(6)20-15-19-31(5)18-14-17-30(3)4)49(56-42)47-48(55(64)65-11)53(62)46-36(10)43(58-52(46)47)28-44-38(13-2)40(29-60)51(59-44)54(63)50(37)57-41/h12,25,27-32,35,39,48-49,56-60,63H,1,13-24,26H2,2-11H3","STDDXUWKUKCMKW"
"1615_780.55_6.1",1615,780.554000629554,6.094099,0.635963489074693,0.0736318490096158,0.0235175779918693,0.196567816660619,1.1329342935802,1.62860740704015,1.55527872774511,1.362581932,0.876101439370621,0.63717315469722,0.446342981695988,-0.190830173001232,"Fatty acids","Glycerophospholipids","Glycerophosphocholines","O-[1-O-(1-Oxo-9,10-octadecadien-1-yl)-2-O-(1-oxo-9,10,15-octadecatrien-1-yl)-L-glycero-3-phospho]choline",NA,NA,"CCCCCCCC=C=CCCCCCCCC(=O)OCC(CO[P+](O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCC=C=CCCCC=CCC",NA,NA,NA,NA,NA,NA,NA,"InChI=1S/C44H78NO8P/c1-6-8-10-12-14-16-18-20-22-24-26-28-30-32-34-36-43(46)50-40-42(41-52-54(48,49)51-39-38-45(3,4)5)53-44(47)37-35-33-31-29-27-25-23-21-19-17-15-13-11-9-7-2/h9,11,18-19,22-23,42H,6-8,10,12-17,24-41H2,1-5H3/p+1","AILYXJONBXEVKL"
"1924_724.53_6.8",1924,724.528272772116,6.7929497,0.656528489034424,0.035879320501372,0.110880067730827,0.182746423630868,1.44515579041331,0.955146517444431,1.35226232133948,1.55624156460844,1.15084295409999,0.435375042881966,0.638066017273536,0.202690974391571,"Fatty acids","Eicosanoids","N-acyl amines","(2S)-N-[(3R,4S,5S)-1-[(2S)-2-[(1R,2R,5R)-5-benzyl-1-methoxy-2-methyl-3-oxoheptyl]pyrrolidin-1-yl]-3-methoxy-5-methyl-1-oxoheptan-4-yl]-4-[(2S,6S)-2,6-dimethylmorpholin-4-yl]-N-methyl-4-oxo-2-propan-2-ylbutanamide",NA,"CCCCCCCCCCCC=CC=CC=CC=CC=CC(=O)O|CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCCCC(=O)O","CCC(C)C(C(CC(=O)N1CCCC1C(C(C)C(=O)CC(CC)CC2=CC=CC=C2)OC)OC)N(C)C(=O)C(CC(=O)N3CC(OC(C3)C)C)C(C)C",NA,NA,NA,NA,"YEKFYCQGYMVFKR|YUFFSWGQGVEMMI","InChI=1S/C22H34O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22(23)24/h12-21H,2-11H2,1H3,(H,23,24)|InChI=1S/C22H34O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22(23)24/h3-4,6-7,9-10,12-13,15-16H,2,5,8,11,14,17-21H2,1H3,(H,23,24)/b4-3-,7-6-,10-9-,13-12-,16-15-","YEKFYCQGYMVFKR-UHFFFAOYSA-N|YUFFSWGQGVEMMI-JLNKQSITSA-N","InChI=1S/C43H71N3O7/c1-12-29(5)41(44(9)43(50)35(28(3)4)24-39(48)45-26-30(6)53-31(7)27-45)38(51-10)25-40(49)46-21-17-20-36(46)42(52-11)32(8)37(47)23-33(13-2)22-34-18-15-14-16-19-34/h14-16,18-19,28-33,35-36,38,41-42H,12-13,17,20-27H2,1-11H3","GIYWXLRSYOCRLU"
"895_507.27_3.4",895,507.271653394605,3.3534117,0.763801221963452,0.111142745326043,0.04529519907236,0.117019651158354,0.954118879952779,1.34394782727802,1.51113509159196,1.35387894811051,0.895935085912281,0.595632639495417,0.437098751639754,-0.158533887855663,"Terpenoids","Triterpenoids","Lanostane, Tirucallane and Euphane triterpenoids","4-(3,7-dimethylocta-2,6-dien-1-yl)-2-(3-methylbut-2-en-1-yl)-5-[(2-methylpropanoyl)oxy]-3,6-dioxocyclohexa-1,4-dien-1-yl 2-methylpropanoate",NA,NA,"CC(C)C(=O)OC1=C(C(=O)C(=C(C1=O)OC(=O)C(C)C)CC=C(C)CCC=C(C)C)CC=C(C)C",NA,NA,NA,NA,NA,NA,NA,"InChI=1S/C29H40O6/c1-17(2)11-10-12-21(9)14-16-23-24(30)22(15-13-18(3)4)26(34-28(32)19(5)6)25(31)27(23)35-29(33)20(7)8/h11,13-14,19-20H,10,12,15-16H2,1-9H3","LLCTZEXRKYOVJM"
"947_507.27_3.6",947,507.271748602145,3.5512538,0.788268067625679,0.0348886167014331,0.016097118809687,0.103326066149094,1.45731624955,1.79325185049176,1.56243897028368,1.42888850057326,0.914524360790763,0.643799838421989,0.514893344043259,-0.12890649437873,"Amino acids and Peptides","Linear polyketides","Open-chain polyketides","ethyl 4-[4-oxo-4-[[(5R,9R,10S,12R,13R)-1,5,9-trimethyl-11,14,15,16-tetraoxatetracyclo[10.3.1.04,13.08,13]hexadecan-10-yl]oxy]butanoyl]piperazine-1-carboxylate",NA,NA,"CCOC(=O)N1CCN(CC1)C(=O)CCC(=O)OC2C(C3CCC(C4C35C(O2)OC(CC4)(OO5)C)C)C",NA,NA,NA,NA,NA,NA,NA,"InChI=1S/C26H40N2O9/c1-5-32-24(31)28-14-12-27(13-15-28)20(29)8-9-21(30)33-22-17(3)19-7-6-16(2)18-10-11-25(4)35-23(34-22)26(18,19)37-36-25/h16-19,22-23H,5-15H2,1-4H3","FKHWPOYGRNRGOB"
"823_523.25_3.1",823,523.246117371684,3.1109402,0.850277917112617,0.0835303885002137,0.0421500154522302,0.070439100002214,1.07815549868385,1.3752022618265,1.51337524362247,1.3909393581224,0.919097470362333,0.597769750272399,0.476059522940398,-0.121710227332001,"Terpenoids","Triterpenoids","Lanostane, Tirucallane and Euphane triterpenoids","4-(3,7-dimethylocta-2,6-dien-1-yl)-2-(3-methylbut-2-en-1-yl)-5-[(2-methylpropanoyl)oxy]-3,6-dioxocyclohexa-1,4-dien-1-yl 2-methylpropanoate",NA,NA,"CC(C)C(=O)OC1=C(C(=O)C(=C(C1=O)OC(=O)C(C)C)CC=C(C)CCC=C(C)C)CC=C(C)C",NA,NA,NA,NA,NA,NA,NA,"InChI=1S/C29H40O6/c1-17(2)11-10-12-21(9)14-16-23-24(30)22(15-13-18(3)4)26(34-28(32)19(5)6)25(31)27(23)35-29(33)20(7)8/h11,13-14,19-20H,10,12,15-16H2,1-9H3","LLCTZEXRKYOVJM"
"965_485.29_3.5",965,485.290195176003,3.549966,0.915876494729644,0.013860844511761,0.00903735834466546,0.0381630866746588,1.85821030827946,2.04395849695741,1.56068370990721,1.48733455900601,0.953001911639382,0.642178188575642,0.57272920174783,-0.0694489868278114,"Terpenoids","Triterpenoids","Open-chain polyketides","4-(3,7-dimethylocta-2,6-dien-1-yl)-2-(3-methylbut-2-en-1-yl)-5-[(2-methylpropanoyl)oxy]-3,6-dioxocyclohexa-1,4-dien-1-yl 2-methylpropanoate",NA,"C[C@H](CCC(=O)NCC(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C","CC(C)C(=O)OC1=C(C(=O)C(=C(C1=O)OC(=O)C(C)C)CC=C(C)CCC=C(C)C)CC=C(C)C",NA,NA,NA,NA,"RFDAIACWWDREDC","InChI=1S/C26H43NO6/c1-14(4-7-22(31)27-13-23(32)33)17-5-6-18-24-19(12-21(30)26(17,18)3)25(2)9-8-16(28)10-15(25)11-20(24)29/h14-21,24,28-30H,4-13H2,1-3H3,(H,27,31)(H,32,33)/t14-,15+,16-,17-,18+,19+,20-,21+,24+,25+,26-/m1/s1","RFDAIACWWDREDC-FRVQLJSFSA-N","InChI=1S/C29H40O6/c1-17(2)11-10-12-21(9)14-16-23-24(30)22(15-13-18(3)4)26(34-28(32)19(5)6)25(31)27(23)35-29(33)20(7)8/h11,13-14,19-20H,10,12,15-16H2,1-9H3","LLCTZEXRKYOVJM"
"966_502.32_3.6",966,502.316781712084,3.550014,0.940280052136296,0.0186229281439001,0.012853242795116,0.0267427772691449,1.72995203244394,1.89098728864758,1.53897353526318,1.47594888078978,0.959047603464719,0.62196842278188,0.561642754793827,-0.060325667988052,"Terpenoids","Diterpenoids","Tigliane diterpenoids","4-(3,7-dimethylocta-2,6-dien-1-yl)-2-(3-methylbut-2-en-1-yl)-5-[(2-methylpropanoyl)oxy]-3,6-dioxocyclohexa-1,4-dien-1-yl 2-methylpropanoate",NA,NA,"CC(C)C(=O)OC1=C(C(=O)C(=C(C1=O)OC(=O)C(C)C)CC=C(C)CCC=C(C)C)CC=C(C)C",NA,NA,NA,NA,NA,NA,NA,"InChI=1S/C29H40O6/c1-17(2)11-10-12-21(9)14-16-23-24(30)22(15-13-18(3)4)26(34-28(32)19(5)6)25(31)27(23)35-29(33)20(7)8/h11,13-14,19-20H,10,12,15-16H2,1-9H3","LLCTZEXRKYOVJM"
"809_502.32_3.1",809,502.316754606587,3.0622022,0.985511243780561,0.0344473909491133,0.0283976735889934,0.00633841645404874,1.46284366604409,1.54671723702503,1.55757144336076,1.51858568747168,0.974970165217619,0.63929833892721,0.602728316080408,-0.0365700228468017,"Terpenoids","Diterpenoids","Tigliane diterpenoids","4-(3,7-dimethylocta-2,6-dien-1-yl)-2-(3-methylbut-2-en-1-yl)-5-[(2-methylpropanoyl)oxy]-3,6-dioxocyclohexa-1,4-dien-1-yl 2-methylpropanoate",NA,NA,"CC(C)C(=O)OC1=C(C(=O)C(=C(C1=O)OC(=O)C(C)C)CC=C(C)CCC=C(C)C)CC=C(C)C",NA,NA,NA,NA,NA,NA,NA,"InChI=1S/C29H40O6/c1-17(2)11-10-12-21(9)14-16-23-24(30)22(15-13-18(3)4)26(34-28(32)19(5)6)25(31)27(23)35-29(33)20(7)8/h11,13-14,19-20H,10,12,15-16H2,1-9H3","LLCTZEXRKYOVJM"
"1781_766.57_6.4",1781,766.573865798926,6.448813,0.988415274560112,0.0354416670768324,0.0422496746022255,0.00506055181112283,1.45048585830752,1.37417663154274,1.47181065838852,1.50402183259729,1.02188540626825,0.557592087309537,0.588825509536313,0.0312334222267762,"Fatty acids","Glycerophospholipids","Glycerophosphocholines","[2-[(3Z,6Z,9Z,12Z,15Z)-octadeca-3,6,9,12,15-pentaenoyl]oxy-3-octadecoxypropyl] 2-(trimethylazaniumyl)ethyl phosphate",NA,NA,"CCCCCCCCCCCCCCCCCCOCC(COP(=O)(O)OCC[N+](C)(C)C)OC(=O)CC=CCC=CCC=CCC=CCC=CCC",NA,NA,NA,NA,NA,NA,NA,"InChI=1S/C44H80NO7P/c1-6-8-10-12-14-16-18-20-22-24-26-28-30-32-34-36-39-49-41-43(42-51-53(47,48)50-40-38-45(3,4)5)52-44(46)37-35-33-31-29-27-25-23-21-19-17-15-13-11-9-7-2/h9,11,15,17,21,23,27,29,33,35,43H,6-8,10,12-14,16,18-20,22,24-26,28,30-32,34,36-42H2,1-5H3/p+1","KMQYPWCZEIVBFE"
"2196_770.61_7.5",2196,770.606037016149,7.4583926,0.99191107433869,0.0211888323443272,0.0184634583029746,0.00352726096589118,1.67389297535092,1.73368695004733,1.49166424960283,1.46923835314836,0.98496585511086,0.576922843942556,0.555068461932775,-0.0218543820097803,"Fatty acids","Glycerophospholipids","Glycerophosphocholines",NA,"CCCCCCCCCCCCCCCC/C=C\OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCC/C=C\CCCCCCCC",NA,"CCCCCCCCC=CCCCCCCCC(=O)OC(COC=CCCCCCCC=CCCCCCCCC)COP(=O)(O)OCC[N+](C)(C)C","InChI=1S/C44H86NO7P/c1-6-8-10-12-14-16-18-20-22-24-26-28-30-32-34-36-39-49-41-43(42-51-53(47,48)50-40-38-45(3,4)5)52-44(46)37-35-33-31-29-27-25-23-21-19-17-15-13-11-9-7-2/h21,23,36,39,43H,6-20,22,24-35,37-38,40-42H2,1-5H3/b23-21-,39-36-/t43-/m1/s1",NA,"DSWOVBIRJNAJAF-NVJOKYTBSA-N","DSWOVBIRJNAJAF","PQIJYJGVCKCIRT","nan","nan","InChI=1S/C44H84NO7P/c1-6-8-10-12-14-16-18-20-22-24-26-28-30-32-34-36-39-49-41-43(42-51-53(47,48)50-40-38-45(3,4)5)52-44(46)37-35-33-31-29-27-25-23-21-19-17-15-13-11-9-7-2/h20-23,36,39,43H,6-19,24-35,37-38,40-42H2,1-5H3/p+1","DIHWZUCEXWUHOD"
