"feature_id"	"feature"	"VIP"	"LV1"	"LV2"
1977	"1-(1Z-hexadecenyl)-2-hexadecanoyl-sn-glycero-3-phosphocholine_[1977_718.58_6.9]"	1.07019812492548	-0.0576292864496896	0.0211341889011388
2212	"NA_[2212_774.6_7.5]"	1.06938774499243	-0.0607476756483104	0.0076784321354367
2004	"NA_[2004_750.54_7]"	1.06420277408053	-0.0390909890918236	0.0827168977502073
2371	"NA_[2371_780.59_8]"	1.06094490757352	-0.0581170482141626	0.0134395535705677
2014	"NA_[2014_706.57_7]"	1.05834497097235	-0.0579647447479584	0.0205246788309792
1303	"NA_[1303_482.43_4.7]"	1.05661358939094	-0.0440877122538485	-0.0911924516393806
726	"NA_[726_986.6_2.8]"	1.05606353091396	-0.053670577839218	-0.0627821867399159
1943	"1-heptadecanoyl-2-arachidonoyl-sn-glycero-3-phosphoethanolamine zwitterion_[1943_754.54_6.8]"	1.05469108784112	-0.0456606784818114	0.0511166368166572
1978	"NA_[1978_719.58_6.9]"	1.05437944805399	-0.0565392633557232	0.0223455659723878
542	"Eerectquione B_[542_485.29_2.1]"	1.05437077680818	-0.0550323644144254	-0.0208285309599628
1996	"PC(P-18:1(9Z)/16:1(9Z))_[1996_742.57_6.9]"	1.0519564852224	-0.049272334599141	0.0614009293477604
2101	"NA_[2101_795.57_7.2]"	1.05166024573207	-0.0346631387235673	0.073079421379727
389	"NA_[389_433.38_1.5]"	1.05148625950444	-0.0434223292616752	-0.0916349273719088
1622	"NA_[1622_904.59_6.1]"	1.05058239688732	-0.0413836204947003	0.0370628666007019
1500	"NA_[1500_704.52_5.6]"	1.04886608390203	-0.0379760497369968	0.068507240111243
2307	"NA_[2307_796.62_7.7]"	1.04882686699785	-0.051772618711759	0.0492286318007973
351	"NA_[351_331.34_1.4]"	1.04854208118478	-0.0530329308500741	-0.000351959621861014
734	"NA_[734_1007.53_2.8]"	1.04635867305842	-0.0535697502678682	0.047125373631732
431	"Randilongin_[431_595.54_1.7]"	1.04476455073815	-0.0507671255464525	-0.0556275107218365
1706	"NA_[1706_806.57_6.2]"	1.0443839455322	-0.0514379847318939	0.0606455155707201
2284	"NA_[2284_747.57_7.7]"	1.03967978323697	-0.0521653923370946	-0.0426546199197757
893	"Eerectquione B_[893_485.29_3.4]"	1.03845085874207	-0.0295265837020008	0.0529995482561255
1016	"NA_[1016_543.34_3.7]"	1.03803554461169	-0.0400173322364353	0.0440614735816779
1780	"NA_[1780_733.56_6.4]"	1.03552977309005	-0.051160168081256	0.0479388721391096
2215	"NA_[2215_744.59_7.5]"	1.03321493223576	-0.0588251552724151	0.00541856053930904
1469	"N-hexadecanoylsphingosine-1-phosphocholine_[1469_725.56_5.5]"	1.03252295404359	-0.0545895316226705	-0.0464086677335861
2462	"NA_[2462_813.68_8.1]"	1.03167434708697	-0.0370446127713678	0.0578706732408853
722	"NA_[722_134.1_2.8]"	1.03112249244715	-0.047086506037747	-0.0718768393414013
255	"N-linoleoylglycine(1-)_[255_355.3_1]"	1.03009890762896	-0.0491586792059327	-0.0716632853764608
399	"n-oleyldiethanolamine_[399_356.35_1.6]"	1.02518147937318	-0.0518625006075922	0.00320560656193466
2243	"NA_[2243_804.66_7.6]"	1.02466365563929	-0.0464943576742144	0.0633955388388234
2245	"NA_[2245_768.59_7.6]"	1.02456564006202	-0.0470822963272384	0.0611821589445636
3381	"NA_[3381_948.8_11.1]"	1.02441561123488	-0.0474977344048273	-0.0487271763763798
771	"NA_[771_281.11_2.9]"	1.02279631747623	-0.053087719872766	0.0462197905800641
1753	"NA_[1753_732.55_6.4]"	1.02269244270986	-0.0504671246615918	0.0443380805841785
2172	"NA_[2172_808.58_7.3]"	1.02234976913496	-0.0486404276160178	0.03149090575929
2839	"NA_[2839_815.7_9.1]"	1.01867951723481	-0.0532581283142952	0.059790511983542
247	"NA_[247_346.33_1]"	1.01861754419959	-0.0506864002255257	0.00498522288190127
2143	"NA_[2143_844.65_7.3]"	1.01818257956758	-0.0593366559795547	0.00905604420683081
1512	"NA_[1512_704.52_5.6]"	1.01772795845326	-0.035481606012409	0.0675650968251407
1282	"NA_[1282_675.54_4.7]"	1.01697148366762	-0.0473951946819769	0.0523056233591458
1920	"NA_[1920_834.6_6.8]"	1.01599804026565	-0.0543723339248515	0.0404151519357769
2033	"1-[(1Z)-hexadecenyl]-2-[(9Z)-octadecenoyl]-sn-glycero-3-phosphocholine_[2033_744.59_7]"	1.01532316661496	-0.04785224850419	0.0526102890776655
1602	"NA_[1602_748.66_6]"	1.0152928932018	-0.0426061311188389	-0.0831610256024678
894	"Eerectquione B_[894_502.32_3.4]"	1.01483197840363	-0.0283015278678256	0.0517835818649041
847	"NA_[847_543.34_3.2]"	1.01386325192905	-0.0440253952042813	0.037880433394322
2040	"Termitomycesphin A_[2040_726.54_7.1]"	1.01384297098288	-0.0439266431081028	0.0467708672790339
1805	"NA_[1805_754.54_6.4]"	1.01367506512419	-0.0492020562586022	0.0495695494870579
2252	"PC(P-16:0/20:1(11Z))_[2252_794.61_7.6]"	1.01054390417658	-0.0577635207152907	0.00090455630167907
2458	"NA_[2458_814.69_8.1]"	1.00923301290294	-0.0464721551034339	0.0282464751482791
2577	"NA_[2577_774.64_8.5]"	1.00899827715227	-0.0563842407114467	-0.0293462908725286
