CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
16	24	9	0.7911	14.016
16	27	9	0.7491	-28.031
21	22	9	0.7497	-42.047
21	24	9	0.9571	-0.000
21	27	9	0.7418	-42.047
22	24	9	0.7484	42.047
22	27	9	0.8761	0.000
24	27	9	0.7446	-42.047
13	28	9	0.7094	-42.010
78	103	10	0.9586	-56.062
87	103	10	0.9529	-28.031
78	87	10	0.9566	-28.031
256	263	11	0.9467	-0.000
197	217	12	0.8727	0.000
207	217	12	0.8427	0.000
197	207	12	0.8064	0.000
107	125	13	0.8381	-14.016
107	170	13	0.7423	-70.078
110	170	13	0.7512	-70.078
125	170	13	0.7351	-56.063
138	170	13	0.7428	-28.031
110	125	13	0.8117	-14.016
110	138	13	0.7709	-42.047
125	138	13	0.8419	-28.031
209	210	14	0.7871	-42.047
254	259	15	0.7042	0.000
259	261	15	0.751	-98.091
259	272	15	0.7064	63.962
269	274	16	0.8961	0.000
283	285	17	0.8316	-45.058
172	283	17	0.812	-168.188
109	115	18	0.7963	26.016
144	160	19	0.8634	-0.000
155	160	19	0.729	0.000
152	188	20	0.9008	-28.031
205	216	21	0.734	0.000
216	238	21	0.7563	1.608
198	238	21	0.7217	1.608
205	238	21	0.7718	1.608
37	49	22	0.9215	-14.016
49	116	22	0.756	-126.104
5	92	23	0.7074	-0.193
