cluster index	parent mass	RTMean	ATTRIBUTE_treatment:GNPSGROUP:nan	ATTRIBUTE_treatment:GNPSGROUP:mock	ATTRIBUTE_treatment:GNPSGROUP:untreated	ATTRIBUTE_treatment:GNPSGROUP:PET	ATTRIBUTE_sample_name:GNPSGROUP:blank	ATTRIBUTE_sample_name:GNPSGROUP:mock	ATTRIBUTE_sample_name:GNPSGROUP:untreated	ATTRIBUTE_sample_name:GNPSGROUP:PET	ATTRIBUTE_sample_name:GNPSGROUP:bk_mapp
208	346.2740088359664	9.076082	0	958720.6	661579.8	356290.4	2146765.2	958720.6	661579.8	356290.4	4741872.0
209	259.16935472555014	9.072822	0	416017.25	0.0	0.0	1213329.1	416017.25	0.0	0.0	3735735.2
210	301.2161625555085	9.074335	0	933935.25	527679.6	275952.38	2723381.0	933935.25	527679.6	275952.38	7948521.0
211	323.1980764391771	9.074335	0	1617250.4	919101.2	497498.28	4797233.5	1617250.4	919101.2	497498.28	13382950.0
212	364.22461599763335	9.073162	0	0.0	0.0	0.0	375013.94	0.0	0.0	0.0	1068640.5
213	237.22128994655563	9.12858	0	2140556.8	2116562.0	2201119.5	1849652.5	2140556.8	2116562.0	2201119.5	1946717.6
214	257.2665139259781	9.142962	0	0.0	3248164.0	0.0	0.0	0.0	3248164.0	0.0	0.0
215	237.22128760238715	9.160585	0	2248081.5	2159929.0	2411619.5	1916085.5	2248081.5	2159929.0	2411619.5	1926206.9
216	286.9062143342866	9.240797	0	400136.22	364717.56	358276.5	365477.72	400136.22	364717.56	358276.5	362436.9
217	243.884218763218	9.264961	0	323998.16	432183.84	346121.53	342406.72	323998.16	432183.84	346121.53	361891.3
218	247.2421546021688	9.299149	0	0.0	997694.2	0.0	0.0	0.0	997694.2	0.0	0.0
219	563.5515134751643	9.299149	0	0.0	1168880.8	0.0	0.0	0.0	1168880.8	0.0	0.0
220	282.2792363709964	9.302164	0	3737424.2	161543730.0	7620732.0	383479.75	3737424.2	161543730.0	7620732.0	2918270.2
221	283.282233866216	9.305168	0	771382.06	32264508.0	1569680.5	0.0	771382.06	32264508.0	1569680.5	581125.56
222	283.28244452170327	9.324699	0	743141.9	1945715.6	1537513.2	0.0	743141.9	1945715.6	1537513.2	581125.56
223	251.2369570720321	9.392737	0	853133.6	968792.3	898953.3	833819.0	853133.6	968792.3	898953.3	807114.5
224	282.27919996143504	9.398496	0	0.0	10056113.0	376645.9	0.0	0.0	10056113.0	376645.9	915926.7
225	621.270911895256	9.428592	0	0.0	0.0	0.0	348026.25	0.0	0.0	0.0	578963.8
226	270.2791595093957	9.434148	0	0.0	2467156.8	0.0	0.0	0.0	2467156.8	0.0	0.0
227	270.27914921599773	9.576888	0	0.0	500410.56	0.0	0.0	0.0	500410.56	0.0	0.0
228	408.3084340165635	9.603474	0	0.0	614140.8	0.0	0.0	0.0	614140.8	0.0	0.0
229	431.3843676282563	9.603474	0	0.0	618960.6	0.0	0.0	0.0	618960.6	0.0	0.0
230	301.2161489935784	9.604774	0	0.0	0.0	0.0	432736.56	0.0	0.0	0.0	1759479.0
231	371.10128610494354	9.671435	0	1167408.8	1298680.5	1182058.4	1460421.9	1167408.8	1298680.5	1182058.4	2029920.4
232	554.1766375738058	9.671435	0	2335938.2	2049674.2	2057141.9	2392677.2	2335938.2	2049674.2	2057141.9	4062317.0
233	559.1316645062425	9.671435	0	3486017.8	3091911.0	2913778.8	3634272.5	3486017.8	3091911.0	2913778.8	5526293.5
234	582.2075388288536	9.671435	0	1578510.9	1846890.9	1997497.5	1410158.4	1578510.9	1846890.9	1997497.5	1839954.5
235	296.2947717973491	9.714275	0	0.0	475831.5	0.0	0.0	0.0	475831.5	0.0	0.0
236	395.22026933439975	9.878297	0	597772.4	753534.75	654689.44	602559.75	597772.4	753534.75	654689.44	554773.9
237	488.3736477127676	9.930117	0	712380.75	762320.06	885157.25	586172.94	712380.75	762320.06	885157.25	773640.5
238	285.29807844588123	9.984456	0	0.0	921433.56	0.0	0.0	0.0	921433.56	0.0	0.0
239	310.31034010039764	10.050772	0	0.0	2643124.5	436628.6	0.0	0.0	2643124.5	436628.6	0.0
240	503.3885659097904	10.158124	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	681661.6
241	161.9696254394967	10.172084	0	689412.2	647465.94	598560.5	612616.3	689412.2	647465.94	598560.5	674291.1
242	143.95902208606938	10.159678	0	923379.06	911007.44	816393.44	834681.06	923379.06	911007.44	816393.44	893848.6
243	451.32075662120224	10.204521	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	648309.44
244	425.3050292380088	10.21615	0	1283420.4	1208338.5	1134591.8	1264048.4	1283420.4	1208338.5	1134591.8	1320130.5
245	607.290678766492	10.289669	0	886636.9	598034.7	418696.9	1628160.1	886636.9	598034.7	418696.9	2549638.0
246	162.90703679810997	10.287704	0	347347.2	391910.34	328795.47	402260.06	347347.2	391910.34	328795.47	343244.72
247	184.88910649816012	10.2805605	0	419988.12	405449.3	393553.03	389348.6	419988.12	405449.3	393553.03	371225.4
248	633.1504051921551	10.333502	0	3161544.2	3284720.2	3118212.8	3415235.5	3161544.2	3284720.2	3118212.8	4141370.0
249	628.1954567218042	10.333502	0	3698157.2	3092585.2	3516947.0	4186758.0	3698157.2	3092585.2	3516947.0	6290646.5
250	451.32076820081824	10.416384	0	0.0	0.0	0.0	437869.84	0.0	0.0	0.0	1995657.6
251	336.1228750551714	10.434226	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	380679.62
252	184.8890902221493	10.402669	0	404430.3	386889.1	388542.34	386728.5	404430.3	386889.1	388542.34	368958.28
253	393.2974074020036	10.52286	0	2514637.5	2196058.5	1890064.0	2740547.8	2514637.5	2196058.5	1890064.0	3185793.5
254	856.5243930669135	10.6544285	0	0.0	0.0	0.0	447186.62	0.0	0.0	0.0	755307.0
255	504.3603297757974	10.690182	0	604485.0	822814.44	725364.44	529195.6	604485.0	822814.44	725364.44	719772.1
256	158.96414047423036	10.711324	0	355843.1	380472.88	399143.44	322929.78	355843.1	380472.88	399143.44	315279.03
257	326.87665271124945	10.743037	0	381311.97	399188.84	384509.97	362261.75	381311.97	399188.84	384509.97	309709.2
258	338.34164199555465	10.70248	0	1204106.9	10130953.0	1543902.4	805522.06	1204106.9	10130953.0	1543902.4	577526.2
259	856.5244138425331	10.714256	0	0.0	0.0	0.0	452071.9	0.0	0.0	0.0	724338.25
