row ID,row m/z,row retention time,intensity_measure,ion_mobility,ion_mobility_unit,ccs,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,20260624_CVOL_Darleen_A549_110626_PET05.mzML Peak area,20260624_CVOL_Darleen_A549_110626_PET100.mzML Peak area,20260624_CVOL_Darleen_A549_110626_PS05.mzML Peak area,20260624_CVOL_Darleen_A549_110626_PS100.mzML Peak area,20260624_CVOL_Darleen_A549_110626_untreated.mzML Peak area,20260624_CVOL_Darleen_A549_180626_PET05.mzML Peak area,20260624_CVOL_Darleen_A549_180626_PET100.mzML Peak area,20260624_CVOL_Darleen_A549_180626_PS05.mzML Peak area,20260624_CVOL_Darleen_A549_180626_PS100.mzML Peak area,20260624_CVOL_Darleen_A549_180626_untreated.mzML Peak area,20260624_CVOL_Darleen_A549_210626_PET05.mzML Peak area,20260624_CVOL_Darleen_A549_210626_PET100.mzML Peak area,20260624_CVOL_Darleen_A549_210626_PS05.mzML Peak area,20260624_CVOL_Darleen_A549_210626_PS100.mzML Peak area,20260624_CVOL_Darleen_A549_210626_untreated.mzML Peak area,20260624_CVOL_Darleen_MDM_160526_PET05.mzML Peak area,20260624_CVOL_Darleen_MDM_160526_PET100.mzML Peak area,20260624_CVOL_Darleen_MDM_160526_PS05.mzML Peak area,20260624_CVOL_Darleen_MDM_160526_PS100.mzML Peak area,20260624_CVOL_Darleen_MDM_160526_untreated.mzML Peak area,20260624_CVOL_Darleen_MDM_A_190626_PET05.mzML Peak area,20260624_CVOL_Darleen_MDM_A_190626_PET100.mzML Peak area,20260624_CVOL_Darleen_MDM_A_190626_PS05.mzML Peak area,20260624_CVOL_Darleen_MDM_A_190626_PS100.mzML Peak area,20260624_CVOL_Darleen_MDM_A_190626_untreated.mzML Peak area,20260624_CVOL_Darleen_MDM_B_120626_PS05.mzML Peak area,20260624_CVOL_Darleen_MDM_B_190626_PET05.mzML Peak area,20260624_CVOL_Darleen_MDM_B_190626_PET100.mzML Peak area,20260624_CVOL_Darleen_MDM_B_190626_PS100_20260626090336.mzML Peak area,20260624_CVOL_Darleen_MDM_B_190626_untreated.mzML Peak area,20260624_CVOL_Darleen_QC_01.mzML Peak area,20260624_CVOL_Darleen_QC_02.mzML Peak area,20260624_CVOL_Darleen_QC_03.mzML Peak area,20260624_CVOL_Darleen_QC_04.mzML Peak area,20260624_CVOL_Darleen_QC_05.mzML Peak area,20260624_CVOL_Darleen_QC_06.mzML Peak area,20260624_CVOL_Darleen_QC_07.mzML Peak area,20260624_CVOL_Darleen_QC_08.mzML Peak area,20260624_CVOL_Darleen_QC_09.mzML Peak area,20260624_CVOL_Darleen_bk.mzML Peak area,20260624_CVOL_Darleen_mock.mzML Peak area,20260624_CVOL_bk_mapp_pre_04.mzML Peak area,Unnamed: 55
2166,721.5936680426221,7.3906984,height,,,,,,,,,,,37135380.0,53861420.0,47633270.0,57549224.0,60552616.0,24748972.0,65271016.0,81723560.0,57909716.0,68226050.0,42440670.0,78105000.0,53933100.0,59275124.0,55229900.0,1749273.1,2665315.8,0.0,1166704.1,1626063.2,0.0,2324073.5,1606517.8,4234994.0,3657187.2,0.0,0.0,1468975.6,1960745.1,0.0,44276570.0,43342588.0,41385810.0,40186690.0,37947144.0,32338990.0,25919796.0,25860698.0,25550626.0,0.0,0.0,0.0,
2167,612.6042519342409,7.360111,height,,,,,,,,,,,2995526.0,2190775.0,9467071.0,6233443.0,0.0,7826865.5,5942623.5,1109107.0,4391760.0,2819216.0,11004828.0,6398640.5,3210998.5,3468395.8,7580341.5,13586856.0,9823121.0,17331700.0,36335660.0,15555133.0,0.0,0.0,0.0,0.0,0.0,16424522.0,0.0,7414278.5,2375773.5,10869078.0,3612196.2,3131003.8,3186725.8,3150667.8,3534863.0,3134763.2,3234138.0,3405272.0,3257008.0,14372564.0,20301732.0,0.0,
2168,722.596843665011,7.3730817,height,,,,,,,,,,,9242991.0,13574939.0,11831199.0,14378045.0,15150384.0,6149084.0,16096045.0,21149358.0,14363395.0,17006604.0,10748373.0,19801078.0,13043919.0,15422352.0,13233949.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10988995.0,10646677.0,10130345.0,10031505.0,9530740.0,8066010.5,6252860.0,6368302.5,6304161.0,0.0,0.0,0.0,
2169,720.5902322047908,7.39362,height,,,,,,,,,,,84196910.0,120368240.0,105257720.0,127306330.0,137394000.0,55122692.0,141655070.0,182016820.0,129206904.0,155904700.0,94945320.0,170066290.0,116983080.0,134861250.0,121777280.0,4096277.2,5904497.5,0.0,2654609.8,3391603.0,0.0,5064873.0,5030336.0,9982264.0,8961848.0,1489743.4,1425711.1,3423590.2,6196582.5,0.0,98934320.0,99605900.0,88853920.0,88595340.0,84875350.0,74311350.0,59433690.0,57584700.0,56950732.0,0.0,0.0,0.0,
2170,410.43568546654967,7.3718557,height,,,,,,,,,,,30097384.0,32518044.0,32846958.0,34915268.0,31405932.0,22181680.0,31282090.0,37881896.0,33024284.0,34105324.0,28391828.0,34877740.0,29940004.0,32183546.0,28735726.0,29386092.0,34442748.0,30532948.0,32104252.0,30153344.0,0.0,22855020.0,26489940.0,18100046.0,19887940.0,27472684.0,20983678.0,31317362.0,41343090.0,28177886.0,40201660.0,31250334.0,32037738.0,31788332.0,36018930.0,27313052.0,26778312.0,25430536.0,29775064.0,29941580.0,31325080.0,0.0,
2171,468.48901581907137,7.374627,height,,,,,,,,,,,1681399.4,0.0,0.0,1361394.6,0.0,1314291.0,0.0,1650950.0,0.0,0.0,0.0,1517055.0,1232716.5,0.0,0.0,2909228.5,2267147.0,2853190.8,1302243.0,2892237.2,0.0,2012068.1,2224474.8,1343217.0,1713896.2,2554338.0,2133695.8,2488068.8,1897896.6,2922404.2,2020798.5,1631647.9,1695694.1,1586173.5,2180162.5,1430811.1,1263751.6,1303591.0,0.0,3422758.8,3112514.8,0.0,
2172,808.5830019633169,7.3096867,height,,,,,,,,,,,17878714.0,16289794.0,17253154.0,17311668.0,16961364.0,17535750.0,16478859.0,16445997.0,18099066.0,16689282.0,15529665.0,15732444.0,17647038.0,15327069.0,17752570.0,2355776.2,6055146.0,1843615.4,2581428.5,2044110.0,0.0,8114996.0,4772993.0,9183992.0,6090406.0,1518431.4,1779466.8,6012696.0,3826077.5,1617551.9,15019442.0,14219592.0,14639089.0,15008687.0,14540711.0,14704304.0,15159383.0,15827024.0,14910858.0,0.0,0.0,0.0,
2173,778.6443720054864,7.3917103,height,,,,,,,,,,,3920741.0,4584782.5,4157819.5,4046228.5,4518145.0,2992642.8,4846255.0,6132392.5,4856691.5,4871375.5,3304165.2,4493207.0,4839996.5,3934864.2,4454423.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3543289.8,3403051.2,3251192.2,3327410.8,3237416.2,3058747.2,2693385.2,2901251.5,2670947.8,0.0,0.0,0.0,
2174,579.5650703043545,7.3967843,height,,,,,,,,,,,6068236.0,7112678.5,6320656.5,7019400.5,6369031.0,4921359.5,5717108.5,5374490.5,6254335.0,4252623.0,12560656.0,7318686.5,3735621.8,12152522.0,6452654.5,7097079.0,10435263.0,6269275.0,29059154.0,7202265.5,0.0,7484177.5,5683674.0,4978445.5,6094012.5,7912322.0,5047057.0,6963830.0,6503975.0,5253586.5,9312120.0,8711932.0,8233149.0,8638628.0,8885450.0,7926816.5,6796934.0,6479441.0,7151932.5,6819075.0,8992377.0,0.0,
2175,542.4904584111408,7.39296,height,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1554563.2,0.0,0.0,1330564.2,0.0,0.0,1352075.6,0.0,4840697.0,0.0,0.0,0.0,0.0,0.0,0.0,1306279.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1496728.6,1952175.5,0.0,
