cluster index	parent mass	RTMean	ATTRIBUTE_treatment:GNPSGROUP:nan	ATTRIBUTE_treatment:GNPSGROUP:PET	ATTRIBUTE_treatment:GNPSGROUP:PS	ATTRIBUTE_treatment:GNPSGROUP:Untreated	ATTRIBUTE_concentration_ug_ml:GNPSGROUP:nan	ATTRIBUTE_concentration_ug_ml:GNPSGROUP:0.5	ATTRIBUTE_concentration_ug_ml:GNPSGROUP:100.0	ATTRIBUTE_concentration_ug_ml:GNPSGROUP:0.0	ATTRIBUTE_collection_dates:GNPSGROUP:nan	ATTRIBUTE_collection_dates:GNPSGROUP:110626.0	ATTRIBUTE_collection_dates:GNPSGROUP:180626.0	ATTRIBUTE_collection_dates:GNPSGROUP:210626.0	ATTRIBUTE_collection_dates:GNPSGROUP:160526.0	ATTRIBUTE_collection_dates:GNPSGROUP:190626.0	ATTRIBUTE_collection_dates:GNPSGROUP:120626.0	ATTRIBUTE_cell_type:GNPSGROUP:nan	ATTRIBUTE_cell_type:GNPSGROUP:A549	ATTRIBUTE_cell_type:GNPSGROUP:MDM	ATTRIBUTE_blood_donor:GNPSGROUP:nan	ATTRIBUTE_blood_donor:GNPSGROUP:A	ATTRIBUTE_blood_donor:GNPSGROUP:B	ATTRIBUTE_cell_type_treatment:GNPSGROUP:nan	ATTRIBUTE_cell_type_treatment:GNPSGROUP:A549_PET	ATTRIBUTE_cell_type_treatment:GNPSGROUP:A549_PS	ATTRIBUTE_cell_type_treatment:GNPSGROUP:A549_Untreated	ATTRIBUTE_cell_type_treatment:GNPSGROUP:MDM_PET	ATTRIBUTE_cell_type_treatment:GNPSGROUP:MDM_PS	ATTRIBUTE_cell_type_treatment:GNPSGROUP:MDM_Untreated	ATTRIBUTE_cell_type_treatment_concentration:GNPSGROUP:nan	ATTRIBUTE_cell_type_treatment_concentration:GNPSGROUP:A549_PET_0.5	ATTRIBUTE_cell_type_treatment_concentration:GNPSGROUP:A549_PET_100	ATTRIBUTE_cell_type_treatment_concentration:GNPSGROUP:A549_PS_0.5	ATTRIBUTE_cell_type_treatment_concentration:GNPSGROUP:A549_PS_100	ATTRIBUTE_cell_type_treatment_concentration:GNPSGROUP:A549_Untreated_0	ATTRIBUTE_cell_type_treatment_concentration:GNPSGROUP:MDM_PET_0.5	ATTRIBUTE_cell_type_treatment_concentration:GNPSGROUP:MDM_PET_100	ATTRIBUTE_cell_type_treatment_concentration:GNPSGROUP:MDM_PS_0.5	ATTRIBUTE_cell_type_treatment_concentration:GNPSGROUP:MDM_PS_100	ATTRIBUTE_cell_type_treatment_concentration:GNPSGROUP:MDM_Untreated_0	component	#Scan#	Compound_Name
21	242.1385414036557	0.53686935	0	2514023.6666666665	2712569.091666667	3159643.483333333	0	1447460.25	3779132.508333333	3159643.483333333	0	3022926.3	1555575.12	4660520.5	3345446.86	1865811.255555556	1962328.8	0	3079673.9733333336	2365457.6266666665	0	2202132.4	1548793.62	0	3009902.083333333	2601658.4	4175248.9	2018145.25	2823479.783333333	2144038.066666667	0	2734600.7666666666	3285203.4	548759.0	4654557.8	4175248.9	788439.5	3247851.0	1718041.7333333334	3928917.8333333335	2144038.066666667	-1		
22	196.0945546981141	0.5345933	0	4264962.316666666	3610677.25	6411465.166666667	0	2058927.1416666664	5816712.425	6411465.166666667	0	3207964.8	1160160.6	9592338.2	4446369.3	4549144.588888888	0.0	0	4653487.866666666	4211609.8533333335	0	7207676.74	980783.52	0	5189459.416666667	3393248.75	6102023.0	3340465.216666667	3828105.75	6720907.333333333	0	6842399.333333333	3536519.5	0.0	6786497.5	6102023.0	762510.8333333334	5918419.600000001	630798.4	7025413.100000001	6720907.333333333	16		
23	252.1207037152737	0.537815	0	1290577.3833333335	1354673.3583333334	1736316.3833333335	0	537275.125	2107975.6166666667	1736316.3833333335	0	1320965.04	375902.84	3457377.0	1603117.1	930455.2555555556	0.0	0	1718081.6266666665	1092645.52	0	1674819.4600000002	0.0	0	1754133.65	1506556.1166666665	2069028.6	827021.1166666667	1202790.6	1403604.1666666667	0	2149100.5	1359166.8	0.0	3013112.233333333	2069028.6	0.0	1654042.2333333334	0.0	2405581.2	1403604.1666666667	573		
24	277.21213852239714	0.53930956	0	1582359.3833333335	1508562.5083333335	1589157.7	0	1808599.7833333327	1282322.1083333334	1589157.7	0	2280018.0200000005	2008545.06	1226841.36	1959937.44	687876.7	3058409.2	0	1838468.1466666667	1269932.4466666663	0	306054.0	1543805.9	0	1948440.85	1839460.683333333	1616537.6666666667	1216277.9166666667	1177664.3333333333	1561777.7333333334	0	1762514.3333333333	2134367.3666666667	1942751.8666666665	1736169.5	1616537.6666666667	1173804.2666666666	1258751.566666667	2355328.6666666665	0.0	1561777.7333333334	523		
25	313.2121330122786	0.5418457	0	1443175.441666667	2582329.083333333	716130.4	0	1539860.066666667	2485644.458333333	716130.4	0	1049066.0	1070620.2	3907659.5	3682885.88	0.0	4051678.8	0	2009115.2333333332	1497740.5466666666	0	0.0	810335.76	0	2670816.0500000003	1883408.2	937127.6666666666	215534.8333333333	3281249.966666667	495133.1333333333	0	3855357.0	1486275.1	953523.6666666666	2813292.733333333	937127.6666666666	0.0	431069.6666666667	1350559.6	5211940.333333333	495133.1333333333	352		
26	316.21188293911126	0.53866345	0	5238253.966666667	5558422.541666667	5945383.416666667	0	4753495.858333333	6043180.649999999	5945383.416666667	0	5162584.1	6449609.4	4879808.6	8455862.5	4074026.4	3826858.0	0	5497334.033333333	5518160.54	0	3349417.3600000003	4749201.76	0	4944906.133333334	5978537.5	5639782.899999999	5531601.8	5138307.583333333	6250983.933333334	0	4108323.9333333336	5781488.333333333	5828537.833333333	6128537.166666667	5639782.899999999	4070345.1666666665	6992858.433333334	5006776.5	5269838.666666667	6250983.933333334	-1	26.0	CHEBI:182579
27	139.07544236079852	0.5405762	0	2021106.3666666665	2306509.708333333	1882178.8333333333	0	1135307.9916666667	3192308.083333333	1882178.8333333333	0	1591283.86	491015.2400000001	5896436.3	3340173.2800000003	736658.0555555555	0.0	0	2659578.466666667	1555385.9266666663	0	1325984.5	0.0	0	2917653.0	2421696.083333333	2619194.1666666665	1124559.7333333334	2191323.333333333	1145163.5	0	4127984.3333333335	1707321.6666666667	0.0	4843392.166666667	2619194.1666666665	413247.6333333333	1835871.8333333333	0.0	4382646.666666667	1145163.5	429		
28	209.12624305966656	0.53983796	0	2989173.1833333336	3153736.583333333	3850578.05	0	1707682.75	4435227.016666667	3850578.05	0	2757004.64	1066770.86	6500545.7	3751181.12	2760892.033333333	1592845.6	0	3441440.4	3013118.6333333333	0	4396939.720000001	891235.0600000002	0	3718965.6666666665	2842449.283333333	4084372.1	2259380.7	3465023.8833333333	3616784.0	0	4771134.0	2666797.333333333	425065.1333333333	5259833.433333334	4084372.1	489225.8	4029535.6	1145306.066666667	5784741.7	3616784.0	16		
29	156.10204318097752	0.5418001	0	7693750.024999999	9470382.033333331	7619702.583333333	0	5200584.858333333	11963547.2	7619702.583333333	0	6014555.720000001	3025714.06	21719679.26	11981502.48	3931697.011111112	2595269.5	0	10253316.346666666	6525870.333333333	0	5450374.14	2145734.38	0	11380443.466666669	9194548.95	10116596.9	4007056.5833333335	9746215.116666667	5122808.266666667	0	15846302.2	6914584.733333333	1063240.566666667	17325857.333333332	10116596.9	1322896.0	6691217.166666667	2569900.6666666665	16922529.566666666	5122808.266666667	16	29.0	1-Ethyl-3-methyl-1H-pyrazole-4-carboxylic acid
30	272.18565402138154	0.54138017	0	3151752.908333333	3307131.391666667	3363451.333333333	0	2715453.7416666667	3743430.5583333336	3363451.333333333	0	3197992.68	3411245.84	2989749.1	4849777.26	2554758.3777777776	2450669.8	0	3199662.54	3312825.433333333	0	2035462.84	3053236.2	0	3011445.033333333	3358063.65	3259295.333333333	3292060.783333333	3256199.1333333333	3467607.333333333	0	2674409.833333333	3348480.233333333	2975088.1333333333	3741039.1666666665	3259295.333333333	2310530.2333333334	4273591.333333333	2901786.766666667	3610611.5	3467607.333333333	-1		
