cluster index	parent mass	RTMean	ATTRIBUTE_treatment:GNPSGROUP:nan	ATTRIBUTE_treatment:GNPSGROUP:mock	ATTRIBUTE_treatment:GNPSGROUP:untreated	ATTRIBUTE_treatment:GNPSGROUP:PET	ATTRIBUTE_phase:GNPSGROUP:inf_1	ATTRIBUTE_phase:GNPSGROUP:inf_2	ATTRIBUTE_phase:GNPSGROUP:nan	ATTRIBUTE_sample_name:GNPSGROUP:blank_inf_1	ATTRIBUTE_sample_name:GNPSGROUP:blank_inf_2	ATTRIBUTE_sample_name:GNPSGROUP:mock_inf_1	ATTRIBUTE_sample_name:GNPSGROUP:mock_inf_2	ATTRIBUTE_sample_name:GNPSGROUP:untreated_inf_1	ATTRIBUTE_sample_name:GNPSGROUP:untreated_inf_2	ATTRIBUTE_sample_name:GNPSGROUP:PET_inf_1	ATTRIBUTE_sample_name:GNPSGROUP:PET_inf_2	ATTRIBUTE_sample_name:GNPSGROUP:bk_mapp	component	#Scan#	Compound_Name
369	299.2768929601932	1.6576782	0	50209879.45	39059299.4	0	73577636.0	901105.9	0	44897868.0	0.0	99802264.0	617494.9	76032776.0	2085822.8	0	0	0.0	15		
370	298.2740075102772	1.6568174	0	251698107.9	198097279.0	0	371255220.0	4571144.600000001	0	227888320.0	0.0	500302080.0	3094135.8	385575260.0	10619298.0	0	0	0.0	15		
371	281.2479354857857	1.6541297	0	10264481.0	8578868.17	0	15758866.0	141349.78	0	10013949.0	0.0	20528962.0	0.0	16733687.0	424049.34	0	0	0.0	164	371.0	Linoleic acid
372	339.3008519010997	1.6581929	0	20764906.0	15194632.8	0	29370152.0	241287.2	0	16915240.0	0.0	41529812.0	0.0	29665404.0	723861.6	0	0	0.0	15		
373	450.2042680933184	1.6604742	0	926337.55	1141885.1	0	2073174.8	0.0	0	2083079.1	0.0	1852675.1	0.0	2283770.2	0.0	0	0	0.0	39		
374	320.2560224795265	1.6623983	0	56681124.75	49490792.5	0	92657333.33333331	3967748.1666666665	0	77531410.0	0.0	110435700.0	2926549.5	90004890.0	8976695.0	0	0	0.0	-1		
375	336.23017609491	1.6623983	0	4384399.25	4738579.25	0	7922449.333333333	1001354.6666666666	0	8525455.0	0.0	7920454.5	848344.0	7321438.5	2155720.0	0	0	0.0	14		
376	491.2311250842839	1.6625938	0	314828.78	468112.3	0	1009053.3866666668	0.0	0	1461278.0	0.0	629657.56	0.0	936224.6	0.0	0	0	0.0	-1		
377	595.5414703638512	1.6650679	0	9008309.0	5212945.5	0	11363612.166666666	0.0	0	5648327.5	0.0	18016618.0	0.0	10425891.0	0.0	0	0	0.0	15		
378	433.177841897568	1.6674116	0	1999887.4	2404645.25	0	4279576.266666667	0.0	0	4029663.5	0.0	3999774.8	0.0	4809290.5	0.0	0	0	0.0	39		
379	478.2358365426736	1.6674116	0	424043.28	867934.2	0	1214002.52	0.0	0	1058052.6	0.0	848086.56	0.0	1735868.4	0.0	0	0	0.0	39		
380	343.3165149257498	1.6783361	0	2576800.235	2632425.5	0	4859405.833333333	394051.3233333333	0	5341920.0	0.0	4843923.5	309676.97	4392374.0	872477.0	0	0	0.0	15		
381	342.31150188461373	1.6690449	0	14492254.05	15062275.5	0	27527916.0	2103282.3666666667	0	29784536.0	0.0	27341560.0	1642948.1	25457652.0	4666899.0	0	0	0.0	-1		
382	617.5233818340107	1.6702969	0	8894096.0	6529314.5	0	14205683.666666666	0.0	0	11770230.0	0.0	17788192.0	0.0	13058629.0	0.0	0	0	0.0	-1		
383	267.17213652602334	1.6714317	0	515056.19	421934.4	0	584115.0266666667	464962.01333333337	0	768055.0	505194.94	488388.78	541723.6	495901.3	347967.5	0	0	0.0	-1	383.0	Spectral Match to Tributyl phosphate from NIST14
384	172.13330181685	1.6719335	0	7097041.5	6541694.625	0	11125352.0	124477.08333333331	0	6472015.0	0.0	14194083.0	0.0	12709958.0	373431.25	0	0	0.0	63		
385	356.3271215522752	1.6761001	0	17971141.1	17587258.5	0	30324778.666666668	2743009.066666667	0	28086564.0	0.0	33468540.0	2473742.2	29419232.0	5755285.0	0	0	0.0	-1		
386	343.3317335594274	1.6771431	0	39920270.5	50983085.75	0	72624642.0	3284940.833333333	0	45922036.0	0.0	77580340.0	2260201.0	94371550.0	7594621.5	0	0	0.0	15		
387	263.2371220658836	1.6782013	0	34951742.125	22239186.5	0	45846711.333333336	530492.4166666666	0	24749754.0	0.0	69533880.0	369604.25	43256500.0	1221873.0	0	0	0.0	10	387.0	Spectral Match to 12(S)-Hydroxy-16-heptadecynoic acid from NIST14
388	280.26366242664625	1.6782013	0	251970404.4	168527588.5	0	340813396.6666667	3886715.266666667	0	193104350.0	0.0	501221760.0	2719048.8	328114080.0	8941097.0	0	0	0.0	64	388.0	Massbank:EQ331603 Linoleic acid|(9Z,12Z)-octadeca-9,12-dienoic acid
389	281.26651772869303	1.6815004	0	55860740.28	32763418.3	0	70735481.33333333	760348.3866666667	0	37239172.0	0.0	111194980.0	526500.56	63772292.0	1754544.6	0	0	0.0	164	389.0	Linoleic acid
390	245.22649557982004	1.678643	0	9082570.0	5772462.61	0	11895705.666666666	104701.40666666666	0	6291156.0	0.0	18165140.0	0.0	11230821.0	314104.22	0	0	0.0	10	390.0	MoNA:2479447 O-Galactosylsphingosine
391	414.2276279014039	1.6904885	0	1465027.9	1569006.25	0	2977247.3666666667	0.0	0	2863673.8	0.0	2930055.8	0.0	3138012.5	0.0	0	0	0.0	39	391.0	"""1-({[2-(2-furylmethyl)-5-methylpyrrolidinyl]amino}methylene)-7-[8-({[2-(2-fury lmethyl)pyrrolidinyl]amino}methylene)-1,6-dihydroxy-3-methyl-5-(methylethyl)-7 -oxo(2-naphthyl)]-3,8-dihydroxy-6-methyl-4-(methylethyl)naphthalen-2-one CollisionEnergy:102040"""
392	397.2010343499514	1.6924983	0	939282.3	1013227.05	0	1847053.5333333327	0.0	0	1636141.9	0.0	1878564.6	0.0	2026454.1	0.0	0	0	0.0	39	392.0	Z2046508094
393	285.1613123253925	1.6975509	0	1178078.4	1330762.4	0	2360220.333333333	0.0	0	2062979.4	0.0	2356156.8	0.0	2661524.8	0.0	0	0	0.0	131		
394	357.347306703326	1.6900027	0	2573352.0	2668458.61	0	5063225.833333333	129040.40666666666	0	5093177.5	0.0	5146704.0	0.0	4949796.0	387121.22	0	0	0.0	249	394.0	6-acetyloxy-7-ethenyl-1,4a,7-trimethyl-3,4,4b,5,6,8,10,10a-octahydro-2H-phenanthrene-1-carboxylic acid
395	489.3665590989743	1.712773	0	8733129.0	5587332.5	0	11012731.333333334	95150.33333333331	0	4682722.0	0.0	17466258.0	0.0	10889214.0	285451.0	0	0	0.0	169		
396	348.2872391388646	1.7170832	0	593564.25	701194.4	0	1368219.3666666667	0.0	0	1515140.8	0.0	1187128.5	0.0	1402388.8	0.0	0	0	0.0	-1		
397	467.38462757079697	1.7197695	0	6202901.0	3321356.0	0	7301508.333333333	0.0	0	2856011.0	0.0	12405802.0	0.0	6642712.0	0.0	0	0	0.0	226		
398	308.29474269808355	1.7414267	0	3004051.0	2879223.25	0	4989681.433333334	0.0	0	3202495.8	0.0	6008102.0	0.0	5758446.5	0.0	0	0	0.0	64	398.0	Spectral Match to 14,15-EE-(8Z)-E from NIST14
399	252.23236743698823	1.7342873	0	988204.8	1047468.2	0	1857936.2	0.0	0	1502462.6	0.0	1976409.6	0.0	2094936.4	0.0	0	0	0.0	64		
400	277.1803603111641	1.7596182	0	820450.6	673974.3	0	1382206.7666666666	0.0	0	1157770.5	0.0	1640901.2	0.0	1347948.6	0.0	0	0	0.0	-1		
401	473.2648880638448	1.7653317	0	1038448.8	1319145.6	0	2551420.9333333336	0.0	0	2939074.0	0.0	2076897.6	0.0	2638291.2	0.0	0	0	0.0	3		
402	359.3265547581604	1.7488152	0	2060497.1	2002043.5	0	3204771.0	0.0	0	1489231.8	0.0	4120994.2	0.0	4004087.0	0.0	0	0	0.0	-1		
403	460.2694956955364	1.7391785	0	1733228.75	2580078.5	0	2875538.1666666665	0.0	0	0.0	0.0	3466457.5	0.0	5160157.0	0.0	0	0	0.0	39	403.0	spermidine-C20:1
404	387.3580705424762	1.7703328	0	1770506.6	1902986.0	0	2825703.4333333336	0.0	0	1130125.1	0.0	3541013.2	0.0	3805972.0	0.0	0	0	0.0	-1		
405	341.31648456974546	1.7411007	0	3076739.25	2455996.5	0	4310867.7	0.0	0	1867131.6	0.0	6153478.5	0.0	4911993.0	0.0	0	0	0.0	113		
406	364.2821915813881	1.7941034	0	1868723.1	1831276.6	0	3204971.5333333337	0.0	0	2214915.2	0.0	3737446.2	0.0	3662553.2	0.0	0	0	0.0	14		
407	332.2560122344273	1.8102454	0	516633.55	517473.9	0	870524.7799999999	0.0	0	543359.44	0.0	1033267.1	0.0	1034947.8	0.0	0	0	0.0	-1		
408	336.2508069915206	1.8207303	0	3601501.5	2827407.0	0	5362389.066666666	0.0	0	3229350.2	0.0	7203003.0	0.0	5654814.0	0.0	0	0	0.0	14		
409	279.23240696550226	1.8000685	0	2777171.75	1462130.9	0	3362352.6	0.0	0	1608452.5	0.0	5554343.5	0.0	2924261.8	0.0	0	0	0.0	10	409.0	Spectral Match to 9(10)-EpOME from NIST14
410	293.2112631541457	1.8301948	0	1230195.73	684822.33	0	1111756.6333333333	518226.50666666665	0	566504.4	493408.9	1774495.9	685895.56	994269.6	375375.06	0	0	0.0	-1		
411	437.1935763060147	1.8312403	0	339068.25	424090.1	0	508772.2333333333	0.0	0	0.0	0.0	678136.5	0.0	848180.2	0.0	0	0	0.0	-1		
412	455.45733217964494	1.8346604	0	1470926.1	1565062.4	0	3049269.6666666665	0.0	0	3075832.0	0.0	2941852.2	0.0	3130124.8	0.0	0	0	0.0	-1		
413	348.2509099484733	1.8402406	0	3173166.5	2061545.4	0	4270222.533333333	0.0	0	2341243.8	0.0	6346333.0	0.0	4123090.8	0.0	0	0	0.0	-1		
414	371.32688246909584	1.8513297	0	1580096.9	1174185.25	0	2042893.5	0.0	0	620116.2	0.0	3160193.8	0.0	2348370.5	0.0	0	0	0.0	-1		
415	346.2716601171669	1.8752196	0	3319145.0	2733206.75	0	5011510.166666667	0.0	0	2929827.0	0.0	6638290.0	0.0	5466413.5	0.0	0	0	0.0	-1		
416	324.28963543704407	1.8762325	0	12087049.0	8585271.3	0	15916179.833333334	109614.86666666664	0	6732743.5	0.0	24174098.0	0.0	16841698.0	328844.6	0	0	0.0	10		
417	382.3428938661311	1.883533	0	1802293.6	1305194.25	0	2567877.266666667	0.0	0	1488656.1	0.0	3604587.2	0.0	2610388.5	0.0	0	0	0.0	323		
418	369.3476550596854	1.888968	0	1621297.5	1373733.1	0	2238279.9333333336	0.0	0	724778.6	0.0	3242595.0	0.0	2747466.2	0.0	0	0	0.0	113		
419	296.3310020021229	1.8916914	0	579424.7	574274.9	0	1078263.9	0.0	0	927392.5	0.0	1158849.4	0.0	1148549.8	0.0	0	0	0.0	10	419.0	NCGC00381425-01!8-hydroxy-8-(3-octyloxiran-2-yl)octanoic acid [IIN-based on: CCMSLIB00000846585]
420	312.2896394593795	1.8936751	0	1805703.0	1355969.1	0	2640028.9	0.0	0	1596742.5	0.0	3611406.0	0.0	2711938.2	0.0	0	0	0.0	-1		
421	261.22144484028365	1.922916	0	984821.1	1387467.5	0	2562896.1333333333	0.0	0	2944111.2	0.0	1969642.2	0.0	2774935.0	0.0	0	0	0.0	10	421.0	NCGC00381425-01!8-hydroxy-8-(3-octyloxiran-2-yl)octanoic acid [IIN-based on: CCMSLIB00000846585]
422	135.0805961790478	1.927341	0	969677.6	1431860.6	0	1776963.8833333335	0.0	0	527815.25	0.0	1939355.2	0.0	2863721.2	0.0	0	0	0.0	98	422.0	
423	170.11768981253297	1.9306467	0	3133117.0	4826634.5	0	5836133.633333333	0.0	0	1588897.9	0.0	6266234.0	0.0	9653269.0	0.0	0	0	0.0	98		
