formulaRank	molecularFormula	adduct	precursorFormula	ZodiacScore	SiriusScoreNormalized	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	compoundId	mappingFeatureId	overallFeatureQuality
1	C32H63N7O3	[M - H2O + H]+	C32H62N7O2+	0.380	0.303	9.973	7.168	2.804	7	0.570	1.767	2.858	-31239.672		576.497	401	6.684	847477542326381608	847477258615251624	847477258615251623	1087	
1	C36H73N3O4	[M + H]+	C36H74N3O4+	1.000	0.332	5.270	5.270	0.000	2	0.923	8.317	8.317	0.924		612.568	401	6.690	847477529613445138	847477258648806060	847477258648806059	1088	
1	C38H77BN4O13	[M - H2O + H]+	C38H76BN4O12+	0.364	0.331	99.521	99.521	0.000	39	0.643	0.640	0.640	-22780.020		790.560	403	6.711	847477805409913919	847477258682360496	847477258682360495	1089	
1	C53H83NO3	[M + Na]+	C53H83NNaO3+	0.706	0.755	15.217	15.217	0.000	4	0.674	4.368	4.368	-3.289		804.624	403	6.716	847477532864031108	847477258715914932	847477258715914931	1090	
1	C25H41O7P	[M + H3N + H]+	C25H45NO7P+	0.694	0.304	116.444	112.586	3.858	25	0.802	4.120	4.120	0.406		502.293	403	6.722	847477561263665567	847477258749469368	847477258745275063	1091	
1	C48H84NO8P	[M + H]+	C48H85NO8P+	1.000	1.000	39.766	32.529	7.237	7	0.940	4.357	4.357	0.178		834.601	404	6.728	847477546965282278	847477258783023804	847477258783023803	1092	
1	C37H75N3O5	[M - H2O + H]+	C37H74N3O4+	0.918	0.333	133.663	133.663	0.000	39	0.693	0.388	0.408	-28836.179		624.568	404	6.739	847477548244545070	847477258879492808	847477258879492807	1095	
1	C34H69NO3	[M + Na]+	C34H69NNaO3+	1.000	1.000	135.422	133.299	2.124	39	0.782	3.061	3.061	4.558		562.520	404	6.742	847477537788144353	847477258816578240	847477258816578239	1093	
1	C33H69N3O7	[M - H2O + H]+	C33H68N3O6+	0.348	0.093	0.719	0.719	0.000	0	0.000	3.125	3.125	-29889.439		602.512	404	6.742	847477549154709123	847477258850132676	847477258850132675	1094	
1	C38H75N3O4	[M + H]+	C38H76N3O4+	0.630	0.322	9.640	3.270	6.369	1	0.944	12.332	12.332	0.541		638.583	405	6.745	847477775538080066	847477258913047244	847477258913047243	1096	
1	C59H88O12	[M + Na]+	C59H88NaO12+	0.434	0.441	10.340	3.484	6.856	0	0.000	0.203	0.203	0.446		1011.617	405	6.754	847477532239079712	847477259013710552	847477259013710551	1099	
1	C23H46N6O8	[M + H]+	C23H47N6O8+	0.422	0.308	13.061	9.819	3.242	2	0.475	5.105	7.109	2.412		535.346	405	6.754	847477586995721970	847477258946601680	847477258946601679	1097	
1	C62H87N5O8	[M + H3N + H]+	C62H91N6O8+	0.123	0.123	10.697	1.321	9.377	1	0.019	0.009	0.785	-0.745		1047.689	405	6.756	847477546403245430	847477259051459292	847477259051459291	1100	
1	C54H89N9O10	[M - H2O + H]+	C54H88N9O9+	0.318	0.333	106.093	100.594	5.499	40	0.924	-1.087	1.506	-17899.312		1006.662	405	6.756	847477592184076289	847477258980156116	847477258980156115	1098	
1	C35H71N3O4	[M + H]+	C35H72N3O4+	0.333	0.314	3.885	3.885	0.000	1	0.330	12.146	12.146	0.661		598.552	406	6.763	847477586060392125	847477259080819424	847477259080819423	1101	
1	C43H72NO7P	[M + H]+	C43H73NO7P+	1.000	1.000	50.362	43.673	6.689	21	0.926	4.558	4.558	-1.442		746.511	406	6.768	847477529617639446	847477259152122600	847477259152122599	1103	
1	C51H88NO6P	[M + H]+	C51H89NO6P+	0.363	0.297	13.241	13.241	0.000	4	0.652	4.029	4.029	-4.513		842.638	406	6.768	847477532243274060	847477259185677036	847477259185677035	1104	
1	C30H37FN2O2	[M + H3N + H]+	C30H41FN3O2+	0.899	0.300	53.040	50.123	2.918	9	0.375	4.174	4.506	3.799		494.320	406	6.768	847477561016201600	847477259114373860	847477259114373859	1102	
1	C43H71N3O7	[M - H2O + H]+	C43H70N3O6+	0.934	0.317	184.648	175.988	8.660	51	0.856	2.405	2.405	-24855.052		724.528	406	6.772	847477542884224085	847477259252785908	847477259252785907	1106	
1	C44H82NO8P	[M + H]+	C44H83NO8P+	1.000	1.000	42.592	33.107	9.485	7	0.962	3.930	3.930	-0.321		784.585	406	6.773	847477532373297494	847477259357643520	847477259357643519	1109	
1	C47H73N3O7	[M - H2O + H]+	C47H72N3O6+	0.912	0.150	131.114	124.890	6.225	42	0.781	2.839	2.839	-23250.661		774.543	406	6.773	847477553948798922	847477259286340344	847477259286340343	1107	
1	C44H79NO10	[M + H]+	C44H80NO10+	1.000	1.000	36.441	36.441	0.000	26	0.566	3.965	3.965	-4.938	PC(19:0_17:4)	782.574	406	6.773	847477602627893735	847477259319894780	847477259319894779	1108	
1	C38H68N8O8	[M - H2O + H]+	C38H67N8O7+	0.400	0.333	44.479	44.479	0.000	23	0.249	0.426	0.596	-24092.234		747.514	407	6.776	847477587071219471	847477259215037168	847477259215037167	1105	
1	C34H62O2	[M + H3N + H]+	C34H66NO2+	1.000	0.333	144.772	141.117	3.654	19	0.528	2.862	3.285	0.871		520.509	407	6.780	847477550249422571	847477259391197956	847477259391197955	1110	
1	C36H73N3O4	[M - H2O + H]+	C36H72N3O3+	1.000	0.333	5.972	5.972	0.000	3	0.924	11.137	11.137	-30291.830		594.557	407	6.790	847477534789216792	847477259424752392	847477259424752391	1111	
1	C45H84NO8P	[M + H]+	C45H85NO8P+	1.000	1.000	35.271	35.271	0.000	9	0.900	2.922	2.922	-4.998	PC 37:3	798.597	408	6.800	847477546982059500	847477259491861264	847477259491861263	1113	
1	C34H63NO2	[M + H]+	C34H64NO2+	0.574	0.333	106.101	102.718	3.382	18	0.508	0.745	4.356	0.681		518.494	408	6.801	847477530662021254	847477259458306828	847477259458306827	1112	
